"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"034001","Albareto","1016","1022","2038"
"034002","Bardi","993","954","1947"
"034003","Bedonia","1536","1567","3103"
"034004","Berceto","1019","898","1917"
"034005","Bore","317","302","619"
"034006","Borgo Val di Taro","3334","3402","6736"
"034007","Busseto","3470","3432","6902"
"034008","Calestano","1143","1040","2183"
"034009","Collecchio","7366","7545","14911"
"034010","Colorno","4628","4546","9174"
"034011","Compiano","527","520","1047"
"034012","Corniglio","933","846","1779"
"034013","Felino","4635","4643","9278"
"034014","Fidenza","13478","14095","27573"
"034015","Fontanellato","3610","3485","7095"
"034016","Fontevivo","2782","2747","5529"
"034017","Fornovo di Taro","2985","3054","6039"
"034018","Langhirano","5533","5431","10964"
"034019","Lesignano de' Bagni","2624","2518","5142"
"034020","Medesano","5367","5395","10762"
"034022","Monchio delle Corti","453","383","836"
"034023","Montechiarugolo","5714","5730","11444"
"034024","Neviano degli Arduini","1776","1689","3465"
"034025","Noceto","6572","6795","13367"
"034026","Palanzano","529","470","999"
"034027","Parma","97267","102183","199450"
"034028","Pellegrino Parmense","501","466","967"
"034030","Roccabianca","1462","1476","2938"
"034031","Sala Baganza","3120","2985","6105"
"034032","Salsomaggiore Terme","10394","10246","20640"
"034033","San Secondo Parmense","2955","2966","5921"
"034035","Solignano","869","795","1664"
"034036","Soragna","2417","2380","4797"
"034038","Terenzo","584","554","1138"
"034039","Tizzano Val Parma","1147","1079","2226"
"034040","Tornolo","447","399","846"
"034041","Torrile","3913","3796","7709"
"034042","Traversetolo","4767","4920","9687"
"034044","Valmozzola","273","254","527"
"034045","Varano de' Melegari","1297","1292","2589"
"034046","Varsi","581","568","1149"
"034049","Sissa Trecasali","4001","3994","7995"
"034050","Polesine Zibello","1565","1572","3137"
"034051","Sorbolo Mezzani","6568","6607","13175"
