"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"018001","Alagna","394","416","810"
"018003","Albonese","271","290","561"
"018004","Albuzzano","1814","1853","3667"
"018005","Arena Po","755","775","1530"
"018006","Badia Pavese","220","188","408"
"018007","Bagnaria","301","321","622"
"018008","Barbianello","444","444","888"
"018009","Bascapè","966","859","1825"
"018011","Bastida Pancarana","471","450","921"
"018012","Battuda","328","307","635"
"018013","Belgioioso","3137","3302","6439"
"018014","Bereguardo","1442","1414","2856"
"018015","Borgarello","1377","1452","2829"
"018016","Borgo Priolo","625","588","1213"
"018017","Borgoratto Mormorolo","192","195","387"
"018018","Borgo San Siro","485","476","961"
"018019","Bornasco","1333","1323","2656"
"018020","Bosnasco","317","307","624"
"018021","Brallo di Pregola","255","218","473"
"018022","Breme","372","353","725"
"018023","Bressana Bottarone","1722","1760","3482"
"018024","Broni","4988","5176","10164"
"018025","Calvignano","54","58","112"
"018026","Campospinoso Albaredo","659","674","1333"
"018027","Candia Lomellina","837","725","1562"
"018029","Canneto Pavese","646","639","1285"
"018030","Carbonara al Ticino","695","723","1418"
"018031","Casanova Lonati","232","220","452"
"018032","Casatisma","419","436","855"
"018033","Casei Gerola","1162","1145","2307"
"018034","Casorate Primo","4607","4583","9190"
"018035","Cassolnovo","3380","3367","6747"
"018036","Castana","343","364","707"
"018037","Casteggio","3061","3302","6363"
"018038","Castelletto di Branduzzo","549","507","1056"
"018039","Castello d'Agogna","563","516","1079"
"018040","Castelnovetto","275","271","546"
"018041","Cava Manara","3231","3453","6684"
"018042","Cecima","128","126","254"
"018043","Ceranova","1201","1162","2363"
"018044","Ceretto Lomellina","95","93","188"
"018045","Cergnago","332","316","648"
"018046","Certosa di Pavia","2866","2757","5623"
"018047","Cervesina","515","588","1103"
"018048","Chignolo Po","2041","2007","4048"
"018049","Cigognola","639","669","1308"
"018050","Cilavegna","2658","2780","5438"
"018051","Codevilla","433","482","915"
"018052","Confienza","774","772","1546"
"018053","Copiano","908","876","1784"
"018054","Corana","380","365","745"
"018057","Corvino San Quirico","464","496","960"
"018058","Costa de' Nobili","192","166","358"
"018059","Cozzo","201","157","358"
