"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"054001","Assisi","13254","14146","27400"
"054002","Bastia Umbra","10445","11052","21497"
"054003","Bettona","2057","2190","4247"
"054004","Bevagna","2333","2403","4736"
"054005","Campello sul Clitunno","1138","1173","2311"
"054006","Cannara","2040","2129","4169"
"054007","Cascia","1449","1481","2930"
"054008","Castel Ritaldi","1487","1507","2994"
"054009","Castiglione del Lago","7436","7766","15202"
"054010","Cerreto di Spoleto","477","484","961"
"054011","Citerna","1711","1672","3383"
"054012","Città della Pieve","3525","3852","7377"
"054013","Città di Castello","18349","19498","37847"
"054014","Collazzone","1623","1661","3284"
"054015","Corciano","10529","11074","21603"
"054016","Costacciaro","510","510","1020"
"054017","Deruta","4735","4827","9562"
"054018","Foligno","26648","28614","55262"
"054019","Fossato di Vico","1294","1291","2585"
"054020","Fratta Todina","996","917","1913"
"054021","Giano dell'Umbria","1828","1841","3669"
"054022","Gualdo Cattaneo","2895","2733","5628"
"054023","Gualdo Tadino","6749","7384","14133"
"054024","Gubbio","14744","15446","30190"
"054025","Lisciano Niccone","302","300","602"
"054026","Magione","7197","7465","14662"
"054027","Marsciano","8846","9116","17962"
"054028","Massa Martana","1797","1756","3553"
"054029","Monte Castello di Vibio","698","680","1378"
"054030","Montefalco","2605","2661","5266"
"054031","Monteleone di Spoleto","272","263","535"
"054032","Monte Santa Maria Tiberina","524","521","1045"
"054033","Montone","755","779","1534"
"054034","Nocera Umbra","2741","2733","5474"
"054035","Norcia","2217","2182","4399"
"054036","Paciano","453","470","923"
"054037","Panicale","2585","2732","5317"
"054038","Passignano sul Trasimeno","2750","2936","5686"
"054039","Perugia","78351","84033","162384"
"054040","Piegaro","1621","1700","3321"
"054041","Pietralunga","983","1027","2010"
"054042","Poggiodomo","48","33","81"
"054043","Preci","348","330","678"
"054044","San Giustino","5430","5590","11020"
"054045","Sant'Anatolia di Narco","261","229","490"
"054046","Scheggia e Pascelupo","621","610","1231"
"054047","Scheggino","217","205","422"
"054048","Sellano","465","453","918"
"054049","Sigillo","1097","1185","2282"
"054050","Spello","3965","4243","8208"
"054051","Spoleto","17431","18444","35875"
"054052","Todi","7495","7937","15432"
"054053","Torgiano","3265","3363","6628"
"054054","Trevi","3916","4053","7969"
"054055","Tuoro sul Trasimeno","1869","1924","3793"
"054056","Umbertide","7956","8251","16207"
"054057","Valfabbrica","1554","1671","3225"
"054058","Vallo di Nera","149","168","317"
"054059","Valtopina","619","639","1258"
