"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"041001","Acqualagna","2067","2086","4153"
"041002","Apecchio","820","843","1663"
"041005","Belforte all'Isauro","369","359","728"
"041006","Borgo Pace","253","267","520"
"041007","Cagli","3889","3989","7878"
"041008","Cantiano","999","963","1962"
"041009","Carpegna","874","800","1674"
"041010","Cartoceto","3953","4002","7955"
"041013","Fano","29002","30869","59871"
"041014","Fermignano","4099","4169","8268"
"041015","Fossombrone","4495","4533","9028"
"041016","Fratte Rosa","427","400","827"
"041017","Frontino","146","144","290"
"041018","Frontone","580","612","1192"
"041019","Gabicce Mare","2648","2763","5411"
"041020","Gradara","2475","2424","4899"
"041021","Isola del Piano","269","248","517"
"041022","Lunano","751","661","1412"
"041023","Macerata Feltria","888","992","1880"
"041025","Mercatello sul Metauro","653","667","1320"
"041026","Mercatino Conca","540","538","1078"
"041027","Mombaroccio","1066","1090","2156"
"041028","Mondavio","1759","1833","3592"
"041029","Mondolfo","7186","7220","14406"
"041030","Montecalvo in Foglia","1379","1400","2779"
"041031","Monte Cerignone","265","303","568"
"041034","Montefelcino","1220","1207","2427"
"041035","Monte Grimano Terme","571","566","1137"
"041036","Montelabbate","3600","3466","7066"
"041038","Monte Porzio","1444","1408","2852"
"041041","Peglio","362","328","690"
"041043","Pergola","2853","2892","5745"
"041044","Pesaro","46110","49160","95270"
"041045","Petriano","1414","1400","2814"
"041047","Piandimeleto","1072","980","2052"
"041048","Pietrarubbia","371","281","652"
"041049","Piobbico","890","918","1808"
"041051","San Costanzo","2367","2281","4648"
"041054","San Lorenzo in Campo","1545","1612","3157"
"041057","Sant'Angelo in Vado","1965","1940","3905"
"041058","Sant'Ippolito","763","743","1506"
"041061","Serra Sant'Abbondio","431","415","846"
"041064","Tavoleto","414","417","831"
"041065","Tavullia","4045","3973","8018"
"041066","Urbania","3400","3488","6888"
"041067","Urbino","6942","6926","13868"
"041068","Vallefoglia","7623","7320","14943"
"041069","Colli al Metauro","6220","6129","12349"
"041070","Terre Roveresche","2636","2546","5182"
"041071","Sassocorvaro Auditore","2494","2381","4875"
