"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"068001","Abbateggio","177","168","345"
"068002","Alanno","1588","1674","3262"
"068003","Bolognano","508","495","1003"
"068004","Brittoli","120","116","236"
"068005","Bussi sul Tirino","1089","1099","2188"
"068006","Cappelle sul Tavo","2014","2092","4106"
"068007","Caramanico Terme","855","848","1703"
"068008","Carpineto della Nora","245","253","498"
"068009","Castiglione a Casauria","375","348","723"
"068010","Catignano","650","582","1232"
"068011","Cepagatti","5415","5615","11030"
"068012","Città Sant'Angelo","7450","7485","14935"
"068013","Civitaquana","602","554","1156"
"068014","Civitella Casanova","753","752","1505"
"068015","Collecorvino","3056","3009","6065"
"068016","Corvara","95","91","186"
"068017","Cugnoli","650","674","1324"
"068018","Elice","796","819","1615"
"068019","Farindola","644","649","1293"
"068020","Lettomanoppello","1285","1318","2603"
"068021","Loreto Aprutino","3444","3593","7037"
"068022","Manoppello","3349","3413","6762"
"068023","Montebello di Bertona","404","399","803"
"068024","Montesilvano","25836","27721","53557"
"068025","Moscufo","1655","1511","3166"
"068026","Nocciano","858","826","1684"
"068027","Penne","5410","5496","10906"
"068028","Pescara","56224","62263","118487"
"068029","Pescosansonesco","213","226","439"
"068030","Pianella","4301","4262","8563"
"068031","Picciano","635","643","1278"
"068032","Pietranico","206","210","416"
"068033","Popoli Terme","2212","2362","4574"
"068034","Roccamorice","404","436","840"
"068035","Rosciano","2015","2099","4114"
"068036","Salle","128","122","250"
"068037","Sant'Eufemia a Maiella","123","110","233"
"068038","San Valentino in Abruzzo Citeriore","861","927","1788"
"068039","Scafa","1625","1763","3388"
"068040","Serramonacesca","262","231","493"
"068041","Spoltore","9227","9697","18924"
"068042","Tocco da Casauria","1167","1158","2325"
"068043","Torre de' Passeri","1390","1472","2862"
"068044","Turrivalignani","393","392","785"
"068045","Vicoli","170","187","357"
"068046","Villa Celiera","249","275","524"
