"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"033001","Agazzano","1015","1039","2054"
"033002","Alseno","2382","2403","4785"
"033003","Besenzone","498","438","936"
"033004","Bettola","1367","1260","2627"
"033005","Bobbio","1599","1745","3344"
"033006","Borgonovo Val Tidone","4234","4071","8305"
"033007","Cadeo","3029","3087","6116"
"033008","Calendasco","1246","1219","2465"
"033010","Caorso","2437","2360","4797"
"033011","Carpaneto Piacentino","3875","3900","7775"
"033012","Castell'Arquato","2304","2408","4712"
"033013","Castel San Giovanni","7270","7132","14402"
"033014","Castelvetro Piacentino","2714","2716","5430"
"033015","Cerignale","63","46","109"
"033016","Coli","467","410","877"
"033017","Corte Brugnatella","259","242","501"
"033018","Cortemaggiore","2496","2261","4757"
"033019","Farini","529","515","1044"
"033020","Ferriere","594","487","1081"
"033021","Fiorenzuola d'Arda","7442","7606","15048"
"033022","Gazzola","1132","1069","2201"
"033023","Gossolengo","2817","2878","5695"
"033024","Gragnano Trebbiense","2227","2288","4515"
"033025","Gropparello","1117","1056","2173"
"033026","Lugagnano Val d'Arda","1982","1945","3927"
"033027","Monticelli d'Ongina","2622","2601","5223"
"033028","Morfasso","444","405","849"
"033030","Ottone","229","161","390"
"033032","Piacenza","50520","53217","103737"
"033033","Pianello Val Tidone","1078","1101","2179"
"033034","Piozzano","309","272","581"
"033035","Podenzano","4485","4560","9045"
"033036","Ponte dell'Olio","2307","2387","4694"
"033037","Pontenure","3327","3392","6719"
"033038","Rivergaro","3533","3639","7172"
"033039","Rottofreno","6056","6264","12320"
"033040","San Giorgio Piacentino","2771","2815","5586"
"033041","San Pietro in Cerro","381","358","739"
"033042","Sarmato","1630","1478","3108"
"033043","Travo","1081","1084","2165"
"033044","Vernasca","1037","992","2029"
"033045","Vigolzone","2194","2130","4324"
"033046","Villanova sull'Arda","847","819","1666"
"033047","Zerba","36","30","66"
"033048","Ziano Piacentino","1330","1220","2550"
"033049","Alta Val Tidone","1501","1426","2927"
