"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"050001","Bientina","4207","4474","8681"
"050002","Buti","2725","2807","5532"
"050003","Calci","3036","3227","6263"
"050004","Calcinaia","6283","6541","12824"
"050005","Capannoli","3110","3229","6339"
"050006","Casale Marittimo","531","516","1047"
"050008","Cascina","21794","23022","44816"
"050009","Castelfranco di Sotto","6946","6806","13752"
"050010","Castellina Marittima","980","968","1948"
"050011","Castelnuovo di Val di Cecina","1024","1031","2055"
"050012","Chianni","646","630","1276"
"050014","Fauglia","1812","1843","3655"
"050015","Guardistallo","582","619","1201"
"050016","Lajatico","625","627","1252"
"050019","Montecatini Val di Cecina","833","856","1689"
"050020","Montescudaio","1097","1095","2192"
"050021","Monteverdi Marittimo","373","396","769"
"050022","Montopoli in Val d'Arno","5578","5683","11261"
"050023","Orciano Pisano","295","340","635"
"050024","Palaia","2172","2390","4562"
"050025","Peccioli","2253","2382","4635"
"050026","Pisa","43991","46155","90146"
"050027","Pomarance","2578","2676","5254"
"050028","Ponsacco","7711","7982","15693"
"050029","Pontedera","14933","15095","30028"
"050030","Riparbella","880","812","1692"
"050031","San Giuliano Terme","15161","15706","30867"
"050032","San Miniato","13594","14175","27769"
"050033","Santa Croce sull'Arno","7692","7422","15114"
"050034","Santa Luce","777","803","1580"
"050035","Santa Maria a Monte","6696","6777","13473"
"050036","Terricciola","2150","2223","4373"
"050037","Vecchiano","5736","6086","11822"
"050038","Vicopisano","4159","4423","8582"
"050039","Volterra","4585","4777","9362"
"050040","Casciana Terme Lari","5991","6119","12110"
"050041","Crespina Lorenzana","2637","2702","5339"
