"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"047002","Agliana","8857","9127","17984"
"047003","Buggiano","4245","4493","8738"
"047005","Lamporecchio","3605","3755","7360"
"047006","Larciano","3100","3241","6341"
"047007","Marliana","1737","1616","3353"
"047008","Massa e Cozzile","3703","4049","7752"
"047009","Monsummano Terme","10131","10732","20863"
"047010","Montale","5146","5317","10463"
"047011","Montecatini-Terme","10500","11305","21805"
"047012","Pescia","9359","9854","19213"
"047013","Pieve a Nievole","4497","4738","9235"
"047014","Pistoia","43088","46006","89094"
"047016","Ponte Buggianese","4371","4522","8893"
"047017","Quarrata","13283","13745","27028"
"047018","Sambuca Pistoiese","744","662","1406"
"047020","Serravalle Pistoiese","5840","5990","11830"
"047021","Uzzano","2743","2903","5646"
"047022","Chiesina Uzzanese","2284","2335","4619"
"047023","Abetone Cutigliano","911","923","1834"
"047024","San Marcello Piteglio","3562","3848","7410"
