"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"093001","Andreis","121","122","243"
"093002","Arba","718","626","1344"
"093004","Aviano","4511","4462","8973"
"093005","Azzano Decimo","7820","7940","15760"
"093006","Barcis","112","113","225"
"093007","Brugnera","4608","4584","9192"
"093008","Budoia","1260","1301","2561"
"093009","Caneva","3050","3144","6194"
"093010","Casarsa della Delizia","4156","4158","8314"
"093011","Castelnovo del Friuli","405","395","800"
"093012","Cavasso Nuovo","731","732","1463"
"093013","Chions","2490","2501","4991"
"093014","Cimolais","175","168","343"
"093015","Claut","423","432","855"
"093016","Clauzetto","215","170","385"
"093017","Cordenons","8695","9006","17701"
"093018","Cordovado","1319","1352","2671"
"093019","Erto e Casso","181","178","359"
"093020","Fanna","732","735","1467"
"093021","Fiume Veneto","5806","6000","11806"
"093022","Fontanafredda","6451","6501","12952"
"093024","Frisanco","306","293","599"
"093025","Maniago","5685","5759","11444"
"093026","Meduno","746","734","1480"
"093027","Montereale Valcellina","2042","2145","4187"
"093028","Morsano al Tagliamento","1413","1341","2754"
"093029","Pasiano di Pordenone","3969","3921","7890"
"093030","Pinzano al Tagliamento","746","747","1493"
"093031","Polcenigo","1501","1559","3060"
"093032","Porcia","7294","7653","14947"
"093033","Pordenone","25718","27026","52744"
"093034","Prata di Pordenone","4248","4105","8353"
"093035","Pravisdomini","1731","1740","3471"
"093036","Roveredo in Piano","2801","2959","5760"
"093037","Sacile","9745","10202","19947"
"093038","San Giorgio della Richinvelda","2409","2132","4541"
"093039","San Martino al Tagliamento","782","735","1517"
"093040","San Quirino","2149","2184","4333"
"093041","San Vito al Tagliamento","7519","7774","15293"
"093042","Sequals","1092","1120","2212"
"093043","Sesto al Reghena","3186","3113","6299"
"093044","Spilimbergo","5805","5994","11799"
"093045","Tramonti di Sopra","133","141","274"
"093046","Tramonti di Sotto","168","167","335"
"093047","Travesio","889","920","1809"
"093049","Vito d'Asio","358","347","705"
"093050","Vivaro","717","633","1350"
"093051","Zoppola","4214","4146","8360"
"093052","Vajont","807","792","1599"
"093053","Valvasone Arzene","1968","1992","3960"
