"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"076001","Abriola","579","616","1195"
"076002","Acerenza","1008","999","2007"
"076003","Albano di Lucania","654","621","1275"
"076004","Anzi","701","744","1445"
"076005","Armento","264","271","535"
"076006","Atella","1788","1786","3574"
"076007","Avigliano","5069","5249","10318"
"076008","Balvano","859","791","1650"
"076009","Banzi","571","560","1131"
"076010","Baragiano","1237","1240","2477"
"076011","Barile","1228","1263","2491"
"076012","Bella","2267","2263","4530"
"076013","Brienza","1960","1884","3844"
"076014","Brindisi Montagna","393","364","757"
"076015","Calvello","815","894","1709"
"076016","Calvera","179","168","347"
"076017","Campomaggiore","338","351","689"
"076018","Cancellara","536","552","1088"
"076019","Carbone","238","237","475"
"076020","San Paolo Albanese","90","107","197"
"076021","Castelgrande","410","373","783"
"076022","Castelluccio Inferiore","918","936","1854"
"076023","Castelluccio Superiore","361","342","703"
"076024","Castelmezzano","333","351","684"
"076025","Castelsaraceno","536","576","1112"
"076026","Castronuovo di Sant'Andrea","393","440","833"
"076027","Cersosimo","249","247","496"
"076028","Chiaromonte","824","861","1685"
"076029","Corleto Perticara","1169","1134","2303"
"076030","Episcopia","579","609","1188"
"076031","Fardella","291","277","568"
"076032","Filiano","1311","1298","2609"
"076033","Forenza","885","841","1726"
"076034","Francavilla in Sinni","1901","1922","3823"
"076035","Gallicchio","392","355","747"
"076036","Genzano di Lucania","2498","2538","5036"
"076037","Grumento Nova","757","757","1514"
"076038","Guardia Perticara","250","252","502"
"076039","Lagonegro","2381","2524","4905"
"076040","Latronico","1993","1957","3950"
"076041","Laurenzana","750","778","1528"
"076042","Lauria","5634","6017","11651"
"076043","Lavello","6618","6202","12820"
"076044","Maratea","2218","2296","4514"
"076045","Marsico Nuovo","1795","1885","3680"
"076046","Marsicovetere","2806","2874","5680"
"076047","Maschito","705","693","1398"
"076048","Melfi","8327","8477","16804"
"076049","Missanello","225","239","464"
"076050","Moliterno","1661","1826","3487"
"076051","Montemilone","701","670","1371"
"076052","Montemurro","506","515","1021"
"076053","Muro Lucano","2461","2367","4828"
"076054","Nemoli","661","706","1367"
"076055","Noepoli","341","376","717"
"076056","Oppido Lucano","1727","1741","3468"
"076057","Palazzo San Gervasio","2160","2089","4249"
"076058","Pescopagano","796","801","1597"
"076059","Picerno","2791","2790","5581"
"076060","Pietragalla","1883","1859","3742"
"076061","Pietrapertosa","418","430","848"
"076062","Pignola","3352","3403","6755"
"076063","Potenza","30604","32799","63403"
"076064","Rapolla","2070","2010","4080"
"076065","Rapone","403","424","827"
"076066","Rionero in Vulture","6145","6180","12325"
"076067","Ripacandida","786","742","1528"
"076068","Rivello","1191","1226","2417"
"076069","Roccanova","600","635","1235"
"076070","Rotonda","1542","1558","3100"
"076071","Ruoti","1588","1576","3164"
"076072","Ruvo del Monte","466","469","935"
"076073","San Chirico Nuovo","548","528","1076"
"076074","San Chirico Raparo","450","415","865"
"076075","San Costantino Albanese","275","294","569"
"076076","San Fele","1250","1243","2493"
"076077","San Martino d'Agri","318","297","615"
"076078","San Severino Lucano","658","655","1313"
"076079","Sant'Angelo Le Fratte","651","642","1293"
"076080","Sant'Arcangelo","2989","2933","5922"
"076081","Sarconi","738","683","1421"
"076082","Sasso di Castalda","372","349","721"
"076083","Satriano di Lucania","1174","1071","2245"
"076084","Savoia di Lucania","499","460","959"
"076085","Senise","3198","3162","6360"
"076086","Spinoso","635","624","1259"
"076087","Teana","237","262","499"
"076088","Terranova di Pollino","461","490","951"
"076089","Tito","3470","3532","7002"
"076090","Tolve","1431","1412","2843"
"076091","Tramutola","1383","1429","2812"
"076092","Trecchina","968","1086","2054"
"076093","Trivigno","282","311","593"
"076094","Vaglio Basilicata","845","909","1754"
"076095","Venosa","5274","5286","10560"
"076096","Vietri di Potenza","1289","1325","2614"
"076097","Viggianello","1293","1284","2577"
"076098","Viggiano","1635","1577","3212"
"076099","Ginestra","330","325","655"
"076100","Paterno","1439","1512","2951"
