"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"088001","Acate","5928","4729","10657"
"088002","Chiaramonte Gulfi","4188","3857","8045"
"088003","Comiso","15291","15146","30437"
"088004","Giarratana","1520","1474","2994"
"088005","Ispica","8605","8101","16706"
"088006","Modica","26139","27483","53622"
"088007","Monterosso Almo","1323","1382","2705"
"088008","Pozzallo","9396","9562","18958"
"088009","Ragusa","36524","37598","74122"
"088010","Santa Croce Camerina","6198","5451","11649"
"088011","Scicli","13393","13527","26920"
"088012","Vittoria","34536","31793","66329"
