"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"039001","Alfonsine","5749","5918","11667"
"039002","Bagnacavallo","8165","8354","16519"
"039003","Bagnara di Romagna","1160","1157","2317"
"039004","Brisighella","3639","3542","7181"
"039005","Casola Valsenio","1337","1152","2489"
"039006","Castel Bolognese","4718","4766","9484"
"039007","Cervia","14128","14947","29075"
"039008","Conselice","4861","4873","9734"
"039009","Cotignola","3628","3709","7337"
"039010","Faenza","29109","29641","58750"
"039011","Fusignano","4121","4137","8258"
"039012","Lugo","15715","16413","32128"
"039013","Massa Lombarda","5552","5376","10928"
"039014","Ravenna","76630","79845","156475"
"039015","Riolo Terme","2966","2858","5824"
"039016","Russi","6094","6188","12282"
"039017","Sant'Agata sul Santerno","1383","1451","2834"
"039018","Solarolo","2224","2237","4461"
