"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"080001","Africo","1338","1332","2670"
"080002","Agnana Calabra","230","216","446"
"080003","Anoia","948","1047","1995"
"080004","Antonimina","583","569","1152"
"080005","Ardore","2435","2471","4906"
"080006","Bagaladi","442","474","916"
"080007","Bagnara Calabra","4527","4575","9102"
"080008","Benestare","1252","1237","2489"
"080009","Bianco","2128","2170","4298"
"080010","Bivongi","547","584","1131"
"080011","Bova","247","213","460"
"080012","Bovalino","4245","4498","8743"
"080013","Bova Marina","1966","1959","3925"
"080014","Brancaleone","1543","1581","3124"
"080015","Bruzzano Zeffirio","493","517","1010"
"080016","Calanna","356","379","735"
"080017","Camini","386","407","793"
"080018","Campo Calabro","2223","2289","4512"
"080019","Candidoni","214","193","407"
"080020","Canolo","340","344","684"
"080021","Caraffa del Bianco","205","224","429"
"080022","Cardeto","588","649","1237"
"080023","Careri","995","1054","2049"
"080024","Casignana","327","353","680"
"080025","Caulonia","3288","3361","6649"
"080026","Ciminà","267","243","510"
"080027","Cinquefrondi","3017","3218","6235"
"080028","Cittanova","4667","4913","9580"
"080029","Condofuri","2174","2317","4491"
"080030","Cosoleto","359","369","728"
"080031","Delianuova","1469","1583","3052"
"080032","Feroleto della Chiesa","719","770","1489"
"080033","Ferruzzano","328","357","685"
"080034","Fiumara","383","406","789"
"080035","Galatro","672","719","1391"
"080036","Gerace","1149","1126","2275"
"080037","Giffone","755","798","1553"
"080038","Gioia Tauro","9627","9697","19324"
"080039","Gioiosa Ionica","3382","3452","6834"
"080040","Grotteria","1376","1439","2815"
"080041","Laganadi","153","168","321"
"080042","Laureana di Borrello","2233","2324","4557"
"080043","Locri","5688","6168","11856"
"080044","Mammola","1136","1199","2335"
"080045","Marina di Gioiosa Ionica","3054","3249","6303"
"080046","Maropati","628","663","1291"
"080047","Martone","240","236","476"
"080048","Melicuccà","368","412","780"
"080049","Melicucco","2393","2449","4842"
"080050","Melito di Porto Salvo","5070","5244","10314"
"080051","Molochio","1033","1089","2122"
"080052","Monasterace","1637","1597","3234"
"080053","Montebello Jonico","2668","2783","5451"
"080054","Motta San Giovanni","2643","2734","5377"
"080055","Oppido Mamertina","2287","2387","4674"
"080056","Palizzi","899","927","1826"
"080057","Palmi","8693","9290","17983"
"080058","Pazzano","252","245","497"
"080059","Placanica","479","498","977"
"080060","Platì","1850","1796","3646"
"080061","Polistena","4769","5053","9822"
"080062","Portigliola","470","524","994"
"080063","Reggio di Calabria","80626","87299","167925"
"080064","Riace","893","903","1796"
"080065","Rizziconi","3920","3683","7603"
"080066","Roccaforte del Greco","147","144","291"
"080067","Roccella Ionica","2919","3200","6119"
"080068","Roghudi","433","464","897"
"080069","Rosarno","7311","7217","14528"
"080070","Samo","335","344","679"
"080071","San Giorgio Morgeto","1425","1520","2945"
"080072","San Giovanni di Gerace","188","206","394"
"080073","San Lorenzo","1011","1057","2068"
"080074","San Luca","1609","1688","3297"
"080075","San Pietro di Caridà","428","495","923"
"080076","San Procopio","227","242","469"
"080077","San Roberto","740","739","1479"
"080078","Santa Cristina d'Aspromonte","357","350","707"
"080079","Sant'Agata del Bianco","262","262","524"
"080080","Sant'Alessio in Aspromonte","153","146","299"
"080081","Sant'Eufemia d'Aspromonte","1772","1853","3625"
"080082","Sant'Ilario dello Ionio","655","653","1308"
"080083","Santo Stefano in Aspromonte","525","476","1001"
"080084","Scido","382","415","797"
"080085","Scilla","2158","2247","4405"
"080086","Seminara","1223","1250","2473"
"080087","Serrata","387","401","788"
"080088","Siderno","8648","8971","17619"
"080089","Sinopoli","900","898","1798"
"080090","Staiti","82","79","161"
"080091","Stignano","596","547","1143"
"080092","Stilo","1179","1127","2306"
"080093","Taurianova","7153","7490","14643"
"080094","Terranova Sappo Minulio","202","200","402"
"080095","Varapodio","1014","1048","2062"
"080096","Villa San Giovanni","6249","6427","12676"
"080097","San Ferdinando","2419","2050","4469"
