"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"035001","Albinea","4335","4651","8986"
"035002","Bagnolo in Piano","4744","4844","9588"
"035003","Baiso","1696","1572","3268"
"035004","Bibbiano","5075","5124","10199"
"035005","Boretto","2747","2709","5456"
"035006","Brescello","2834","2722","5556"
"035008","Cadelbosco di Sopra","5285","5442","10727"
"035009","Campagnola Emilia","2792","2759","5551"
"035010","Campegine","2671","2743","5414"
"035011","Carpineti","1949","1956","3905"
"035012","Casalgrande","9541","9498","19039"
"035013","Casina","2320","2299","4619"
"035014","Castellarano","7548","7612","15160"
"035015","Castelnovo di Sotto","4304","4403","8707"
"035016","Castelnovo ne' Monti","5131","5276","10407"
"035017","Cavriago","4838","5109","9947"
"035018","Canossa","1940","1856","3796"
"035020","Correggio","12459","12775","25234"
"035021","Fabbrico","3568","3363","6931"
"035022","Gattatico","2957","2866","5823"
"035023","Gualtieri","3201","3163","6364"
"035024","Guastalla","7233","7442","14675"
"035026","Luzzara","4360","4217","8577"
"035027","Montecchio Emilia","5066","5375","10441"
"035028","Novellara","6652","6754","13406"
"035029","Poviglio","3648","3592","7240"
"035030","Quattro Castella","6439","6787","13226"
"035032","Reggiolo","4681","4637","9318"
"035033","Reggio nell'Emilia","86236","86685","172921"
"035034","Rio Saliceto","3066","3033","6099"
"035035","Rolo","2102","1938","4040"
"035036","Rubiera","7110","7412","14522"
"035037","San Martino in Rio","4101","4145","8246"
"035038","San Polo d'Enza","3051","3089","6140"
"035039","Sant'Ilario d'Enza","5671","5752","11423"
"035040","Scandiano","12649","13330","25979"
"035041","Toano","2161","2028","4189"
"035042","Vetto","922","880","1802"
"035043","Vezzano sul Crostolo","2171","2262","4433"
"035044","Viano","1754","1718","3472"
"035045","Villa Minozzo","1806","1701","3507"
"035046","Ventasso","1929","1895","3824"
