"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"057001","Accumoli","266","227","493"
"057002","Amatrice","1132","1014","2146"
"057003","Antrodoco","1156","1082","2238"
"057004","Ascrea","105","90","195"
"057005","Belmonte in Sabina","319","334","653"
"057006","Borbona","302","271","573"
"057007","Borgorose","2170","2040","4210"
"057008","Borgo Velino","440","461","901"
"057009","Cantalice","1202","1184","2386"
"057010","Cantalupo in Sabina","814","843","1657"
"057011","Casaprota","338","340","678"
"057012","Casperia","596","619","1215"
"057013","Castel di Tora","149","122","271"
"057014","Castelnuovo di Farfa","501","486","987"
"057015","Castel Sant'Angelo","597","559","1156"
"057016","Cittaducale","3177","3223","6400"
"057017","Cittareale","203","171","374"
"057018","Collalto Sabino","204","165","369"
"057019","Colle di Tora","185","163","348"
"057020","Collegiove","73","60","133"
"057021","Collevecchio","820","755","1575"
"057022","Colli sul Velino","230","235","465"
"057023","Concerviano","143","139","282"
"057024","Configni","296","260","556"
"057025","Contigliano","1847","1810","3657"
"057026","Cottanello","269","248","517"
"057027","Fara in Sabina","6976","6992","13968"
"057028","Fiamignano","611","540","1151"
"057029","Forano","1630","1600","3230"
"057030","Frasso Sabino","366","367","733"
"057031","Greccio","720","728","1448"
"057032","Labro","178","164","342"
"057033","Leonessa","1026","993","2019"
"057034","Longone Sabino","267","243","510"
"057035","Magliano Sabina","1726","1731","3457"
"057036","Marcetelli","31","22","53"
"057037","Micigliano","70","49","119"
"057038","Mompeo","253","251","504"
"057039","Montasola","205","193","398"
"057040","Montebuono","417","427","844"
"057041","Monteleone Sabino","561","567","1128"
"057042","Montenero Sabino","134","134","268"
"057043","Monte San Giovanni in Sabina","349","315","664"
"057044","Montopoli di Sabina","2059","2050","4109"
"057045","Morro Reatino","179","155","334"
"057046","Nespolo","123","84","207"
"057047","Orvinio","199","180","379"
"057048","Paganico Sabino","86","69","155"
"057049","Pescorocchiano","938","859","1797"
"057050","Petrella Salto","553","461","1014"
"057051","Poggio Bustone","995","962","1957"
"057052","Poggio Catino","627","676","1303"
"057053","Poggio Mirteto","2987","3094","6081"
"057054","Poggio Moiano","1432","1363","2795"
"057055","Poggio Nativo","1360","1222","2582"
"057056","Poggio San Lorenzo","296","267","563"
"057057","Posta","276","242","518"
"057058","Pozzaglia Sabina","152","151","303"
"057059","Rieti","21717","23149","44866"
"057060","Rivodutri","574","547","1121"
"057061","Roccantica","259","283","542"
"057062","Rocca Sinibalda","430","371","801"
"057063","Salisano","227","235","462"
"057064","Scandriglia","1833","1514","3347"
"057065","Selci","562","555","1117"
"057066","Stimigliano","1095","1110","2205"
"057067","Tarano","681","688","1369"
"057068","Toffia","531","519","1050"
"057069","Torricella in Sabina","654","629","1283"
"057070","Torri in Sabina","630","579","1209"
"057071","Turania","134","99","233"
"057072","Vacone","108","106","214"
"057073","Varco Sabino","89","59","148"
