"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"099001","Bellaria-Igea Marina","9601","9961","19562"
"099002","Cattolica","7816","8798","16614"
"099003","Coriano","5222","5265","10487"
"099004","Gemmano","574","582","1156"
"099005","Misano Adriatico","7020","7151","14171"
"099006","Mondaino","687","670","1357"
"099008","Montefiore Conca","1158","1154","2312"
"099009","Montegridolfo","511","514","1025"
"099011","Morciano di Romagna","3547","3735","7282"
"099013","Riccione","16224","18143","34367"
"099014","Rimini","72814","77960","150774"
"099015","Saludecio","1645","1629","3274"
"099016","San Clemente","2841","2908","5749"
"099017","San Giovanni in Marignano","4635","4790","9425"
"099018","Santarcangelo di Romagna","10965","11401","22366"
"099020","Verucchio","5076","4968","10044"
"099021","Casteldelci","172","177","349"
"099022","Maiolo","400","383","783"
"099023","Novafeltria","3516","3515","7031"
"099024","Pennabilli","1350","1342","2692"
"099025","San Leo","1486","1391","2877"
"099026","Sant'Agata Feltria","982","975","1957"
"099027","Talamello","521","560","1081"
"099028","Poggio Torriana","2576","2521","5097"
"099029","Montescudo-Monte Colombo","3534","3470","7004"
"099030","Montecopiolo","517","512","1029"
"099031","Sassofeltrio","667","712","1379"
