"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"058001","Affile","698","705","1403"
"058002","Agosta","816","863","1679"
"058003","Albano Laziale","19147","20559","39706"
"058004","Allumiere","1869","1903","3772"
"058005","Anguillara Sabazia","9301","9736","19037"
"058006","Anticoli Corrado","414","427","841"
"058007","Anzio","30223","29840","60063"
"058008","Arcinazzo Romano","643","602","1245"
"058009","Ariccia","8674","9264","17938"
"058010","Arsoli","634","713","1347"
"058011","Artena","6775","6901","13676"
"058012","Bellegra","1258","1320","2578"
"058013","Bracciano","8848","9501","18349"
"058014","Camerata Nuova","217","186","403"
"058015","Campagnano di Roma","5332","5655","10987"
"058016","Canale Monterano","2024","2140","4164"
"058017","Canterano","186","157","343"
"058018","Capena","5609","5462","11071"
"058019","Capranica Prenestina","171","139","310"
"058020","Carpineto Romano","1909","2002","3911"
"058021","Casape","297","313","610"
"058022","Castel Gandolfo","4023","4513","8536"
"058023","Castel Madama","3481","3541","7022"
"058024","Castelnuovo di Porto","4268","4342","8610"
"058025","Castel San Pietro Romano","410","428","838"
"058026","Cave","5469","5466","10935"
"058027","Cerreto Laziale","523","552","1075"
"058028","Cervara di Roma","248","205","453"
"058029","Cerveteri","18834","19372","38206"
"058030","Ciciliano","624","624","1248"
"058031","Cineto Romano","284","295","579"
"058032","Civitavecchia","24745","26614","51359"
"058033","Civitella San Paolo","1025","1021","2046"
"058034","Colleferro","9865","10516","20381"
"058035","Colonna","2040","2186","4226"
"058036","Fiano Romano","8632","8261","16893"
"058037","Filacciano","231","250","481"
"058038","Formello","6707","7218","13925"
"058039","Frascati","10938","12010","22948"
"058040","Gallicano nel Lazio","3350","3228","6578"
"058041","Gavignano","932","922","1854"
"058042","Genazzano","2852","2885","5737"
"058043","Genzano di Roma","10804","11525","22329"
"058044","Gerano","563","547","1110"
"058045","Gorga","333","316","649"
"058046","Grottaferrata","9558","10787","20345"
"058047","Guidonia Montecelio","44358","45062","89420"
"058048","Jenne","168","156","324"
"058049","Labico","3180","3229","6409"
"058050","Lanuvio","6465","6432","12897"
"058051","Licenza","556","432","988"
"058052","Magliano Romano","719","660","1379"
"058053","Mandela","474","457","931"
"058054","Manziana","3789","4049","7838"
"058055","Marano Equo","375","382","757"
"058056","Marcellina","3604","3556","7160"
"058057","Marino","22606","24061","46667"
"058058","Mazzano Romano","1450","1485","2935"
"058059","Mentana","11118","11497","22615"
"058060","Monte Compatri","5723","5910","11633"
"058061","Monteflavio","547","603","1150"
"058062","Montelanico","996","1007","2003"
"058063","Montelibretti","2463","2635","5098"
"058064","Monte Porzio Catone","4166","4431","8597"
"058065","Monterotondo","19995","21190","41185"
"058066","Montorio Romano","963","945","1908"
"058067","Moricone","1196","1177","2373"
"058068","Morlupo","4135","4418","8553"
"058069","Nazzano","649","649","1298"
"058070","Nemi","915","939","1854"
"058071","Nerola","968","993","1961"
"058072","Nettuno","23804","24307","48111"
"058073","Olevano Romano","3152","3140","6292"
"058074","Palestrina","10859","11251","22110"
"058075","Palombara Sabina","6558","6599","13157"
"058076","Percile","110","103","213"
"058077","Pisoniano","373","338","711"
"058078","Poli","1109","1124","2233"
"058079","Pomezia","32556","32414","64970"
"058080","Ponzano Romano","661","604","1265"
"058081","Riano","5249","5245","10494"
"058082","Rignano Flaminio","4983","5187","10170"
"058083","Riofreddo","366","384","750"
"058084","Rocca Canterano","94","76","170"
"058085","Rocca di Cave","181","183","364"
"058086","Rocca di Papa","9426","8563","17989"
"058087","Roccagiovine","126","120","246"
"058088","Rocca Priora","6030","6100","12130"
"058089","Rocca Santo Stefano","471","435","906"
"058090","Roiate","303","336","639"
"058091","Roma","1307339","1437723","2745062"
"058092","Roviano","585","647","1232"
"058093","Sacrofano","3678","3834","7512"
"058094","Sambuci","419","414","833"
"058095","San Gregorio da Sassola","707","678","1385"
"058096","San Polo dei Cavalieri","1439","1365","2804"
"058097","Santa Marinella","8940","9505","18445"
"058098","Sant'Angelo Romano","2535","2531","5066"
"058099","Sant'Oreste","1707","1691","3398"
"058100","San Vito Romano","1573","1439","3012"
"058101","Saracinesco","99","78","177"
"058102","Segni","4429","4532","8961"
"058103","Subiaco","4234","4293","8527"
"058104","Tivoli","27396","27925","55321"
"058105","Tolfa","2378","2313","4691"
"058106","Torrita Tiberina","567","549","1116"
"058107","Trevignano Romano","2782","2973","5755"
"058108","Vallepietra","100","123","223"
"058109","Vallinfreda","129","131","260"
"058110","Valmontone","7743","7911","15654"
"058111","Velletri","26039","27009","53048"
"058112","Vicovaro","1725","1795","3520"
"058113","Vivaro Romano","85","65","150"
"058114","Zagarolo","9638","9325","18963"
"058115","Lariano","6537","6760","13297"
"058116","Ladispoli","19997","20971","40968"
"058117","Ardea","26079","25295","51374"
"058118","Ciampino","18677","20236","38913"
"058119","San Cesareo","8200","8183","16383"
"058120","Fiumicino","41823","41592","83415"
"058122","Fonte Nuova","16142","16645","32787"
