"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"029001","Adria","9319","9559","18878"
"029002","Ariano nel Polesine","1825","1932","3757"
"029003","Arquà Polesine","1292","1286","2578"
"029004","Badia Polesine","5199","5179","10378"
"029005","Bagnolo di Po","629","574","1203"
"029006","Bergantino","1146","1194","2340"
"029007","Bosaro","725","687","1412"
"029008","Calto","365","334","699"
"029009","Canaro","1272","1297","2569"
"029010","Canda","397","415","812"
"029011","Castelguglielmo","795","715","1510"
"029012","Castelmassa","1972","2054","4026"
"029013","Castelnovo Bariano","1288","1300","2588"
"029014","Ceneselli","800","773","1573"
"029015","Ceregnano","1656","1721","3377"
"029017","Corbola","1089","1157","2246"
"029018","Costa di Rovigo","1183","1237","2420"
"029019","Crespino","883","904","1787"
"029021","Ficarolo","1060","1139","2199"
"029022","Fiesso Umbertiano","1935","1947","3882"
"029023","Frassinelle Polesine","657","669","1326"
"029024","Fratta Polesine","1156","1289","2445"
"029025","Gaiba","462","470","932"
"029026","Gavello","718","700","1418"
"029027","Giacciano con Baruchella","1057","1026","2083"
"029028","Guarda Veneta","541","559","1100"
"029029","Lendinara","5785","5753","11538"
"029030","Loreo","1604","1573","3177"
"029031","Lusia","1597","1599","3196"
"029032","Melara","844","860","1704"
"029033","Occhiobello","5853","6169","12022"
"029034","Papozze","690","718","1408"
"029035","Pettorazza Grimani","707","685","1392"
"029036","Pincara","543","519","1062"
"029037","Polesella","1876","1800","3676"
"029038","Pontecchio Polesine","1133","1089","2222"
"029039","Porto Tolle","4210","4397","8607"
"029040","Rosolina","3047","2996","6043"
"029041","Rovigo","24434","25560","49994"
"029042","Salara","484","543","1027"
"029043","San Bellino","545","530","1075"
"029044","San Martino di Venezze","1895","1911","3806"
"029045","Stienta","1503","1516","3019"
"029046","Taglio di Po","3893","3943","7836"
"029047","Trecenta","1274","1331","2605"
"029048","Villadose","2312","2328","4640"
"029049","Villamarzana","554","558","1112"
"029050","Villanova del Ghebbo","982","951","1933"
"029051","Villanova Marchesana","460","416","876"
"029052","Porto Viro","6773","6902","13675"
