"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"065001","Acerno","1229","1189","2418"
"065002","Agropoli","10561","10857","21418"
"065003","Albanella","3206","3133","6339"
"065004","Alfano","410","481","891"
"065005","Altavilla Silentina","3536","3522","7058"
"065006","Amalfi","2243","2329","4572"
"065007","Angri","16840","17513","34353"
"065008","Aquara","613","624","1237"
"065009","Ascea","3008","2906","5914"
"065010","Atena Lucana","1212","1188","2400"
"065011","Atrani","361","390","751"
"065012","Auletta","1056","1050","2106"
"065013","Baronissi","8272","8516","16788"
"065014","Battipaglia","24515","24989","49504"
"065015","Bellosguardo","317","322","639"
"065016","Bracigliano","2713","2630","5343"
"065017","Buccino","2221","2241","4462"
"065018","Buonabitacolo","1189","1265","2454"
"065019","Caggiano","1266","1220","2486"
"065020","Calvanico","707","700","1407"
"065021","Camerota","3344","3397","6741"
"065022","Campagna","8867","8327","17194"
"065023","Campora","151","146","297"
"065024","Cannalonga","476","463","939"
"065025","Capaccio Paestum","11518","10945","22463"
"065026","Casalbuono","509","504","1013"
"065027","Casaletto Spartano","589","633","1222"
"065028","Casal Velino","2699","2669","5368"
"065029","Caselle in Pittari","913","947","1860"
"065030","Castelcivita","720","650","1370"
"065031","Castellabate","4352","4320","8672"
"065032","Castelnuovo Cilento","1387","1462","2849"
"065033","Castelnuovo di Conza","292","265","557"
"065034","Castel San Giorgio","6828","6930","13758"
"065035","Castel San Lorenzo","1077","1105","2182"
"065036","Castiglione del Genovesi","673","607","1280"
"065037","Cava de' Tirreni","23941","25389","49330"
"065038","Celle di Bulgheria","814","863","1677"
"065039","Centola","2603","2417","5020"
"065040","Ceraso","1085","1110","2195"
"065041","Cetara","943","943","1886"
"065042","Cicerale","573","605","1178"
"065043","Colliano","1661","1726","3387"
"065044","Conca dei Marini","336","299","635"
"065045","Controne","379","378","757"
"065046","Contursi Terme","1577","1581","3158"
"065047","Corbara","1229","1289","2518"
"065048","Corleto Monforte","229","233","462"
"065049","Cuccaro Vetere","226","284","510"
"065050","Eboli","19286","18370","37656"
"065051","Felitto","556","584","1140"
"065052","Fisciano","7135","7102","14237"
"065053","Furore","359","319","678"
"065054","Futani","489","559","1048"
"065055","Giffoni Sei Casali","2485","2466","4951"
"065056","Giffoni Valle Piana","5669","5792","11461"
"065057","Gioi","503","555","1058"
"065058","Giungano","644","661","1305"
"065059","Ispani","476","495","971"
"065060","Laureana Cilento","639","616","1255"
"065061","Laurino","598","602","1200"
"065062","Laurito","323","324","647"
"065063","Laviano","616","645","1261"
"065064","Lustra","511","494","1005"
"065065","Magliano Vetere","287","286","573"
"065066","Maiori","2562","2649","5211"
"065067","Mercato San Severino","10399","10910","21309"
"065068","Minori","1247","1281","2528"
"065069","Moio della Civitella","883","927","1810"
"065070","Montano Antilia","796","848","1644"
"065071","Montecorice","1310","1282","2592"
"065072","Montecorvino Pugliano","5614","5598","11212"
"065073","Montecorvino Rovella","6172","6136","12308"
"065074","Monteforte Cilento","268","263","531"
