Codice comune,Comune,Totale maschi,Totale femmine,Totale
112001,Alghero,20088,21677,41765
112002,Anela,284,269,553
112003,Ardara,344,336,680
112004,Banari,258,250,508
112005,Benetutti,790,833,1623
112006,Bessude,178,191,369
112007,Bonnanaro,435,459,894
112008,Bono,1602,1630,3232
112009,Bonorva,1542,1488,3030
112010,Borutta,121,123,244
112011,Bottidda,311,316,627
112012,Bultei,379,397,776
112013,Bulzi,262,245,507
112014,Burgos,401,416,817
112015,Cargeghe,300,290,590
112016,Castelsardo,2820,2804,5624
112017,Cheremule,195,183,378
112018,Chiaramonti,732,762,1494
112019,Codrongianos,624,628,1252
112020,Cossoine,361,378,739
112021,Erula,351,351,702
112022,Esporlatu,172,188,360
112023,Florinas,706,753,1459
112024,Giave,241,230,471
112025,Illorai,324,374,698
112026,Ittireddu,238,219,457
112027,Ittiri,3802,3928,7730
112028,Laerru,407,399,806
112029,Mara,251,267,518
112030,Martis,228,227,455
112031,Monteleone Rocca Doria,53,52,105
112032,Mores,831,832,1663
112033,Muros,408,414,822
112035,Nule,645,614,1259
112036,Nulvi,1292,1280,2572
112037,Olmedo,2113,2127,4240
112038,Osilo,1340,1392,2732
112039,Ossi,2642,2702,5344
112040,Ozieri,4777,4782,9559
112041,Padria,293,281,574
112042,Pattada,1408,1355,2763
112043,Perfugas,1109,1103,2212
112044,Ploaghe,2093,2108,4201
112045,Porto Torres,10089,10535,20624
112046,Pozzomaggiore,1124,1162,2286
112047,Putifigari,332,326,658
112048,Romana,217,240,457
112049,Santa Maria Coghinas,702,644,1346
112050,Sassari,58292,61939,120231
112051,Sedini,573,610,1183
112052,Semestene,58,69,127
112053,Sennori,3299,3358,6657
112054,Siligo,378,356,734
112055,Sorso,7289,7105,14394
112056,Stintino,813,754,1567
112057,Tergu,295,317,612
112058,Thiesi,1329,1306,2635
112059,Tissi,1181,1171,2352
112060,Torralba,420,434,854
112061,Tula,724,701,1425
112062,Uri,1447,1375,2822
112063,Usini,2070,2050,4120
112064,Valledoria,2179,2142,4321
112065,Viddalba,772,798,1570
112066,Villanova Monteleone,1017,1022,2039
