"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"009001","Alassio","4639","5266","9905"
"009002","Albenga","11738","11932","23670"
"009003","Albissola Marina","2469","2656","5125"
"009004","Albisola Superiore","4475","4996","9471"
"009005","Altare","981","941","1922"
"009006","Andora","3526","3729","7255"
"009007","Arnasco","271","258","529"
"009008","Balestrino","258","264","522"
"009009","Bardineto","379","385","764"
"009010","Bergeggi","506","527","1033"
"009011","Boissano","1324","1260","2584"
"009012","Borghetto Santo Spirito","2174","2375","4549"
"009013","Borgio Verezzi","1023","1058","2081"
"009014","Bormida","160","146","306"
"009015","Cairo Montenotte","6517","6443","12960"
"009016","Calice Ligure","816","858","1674"
"009017","Calizzano","719","738","1457"
"009018","Carcare","2454","2755","5209"
"009019","Casanova Lerrone","354","384","738"
"009020","Castelbianco","154","165","319"
"009021","Castelvecchio di Rocca Barbena","77","56","133"
"009022","Celle Ligure","2320","2505","4825"
"009023","Cengio","1758","1747","3505"
"009024","Ceriale","2675","2726","5401"
"009025","Cisano sul Neva","1053","1079","2132"
"009026","Cosseria","518","511","1029"
"009027","Dego","905","921","1826"
"009028","Erli","126","119","245"
"009029","Finale Ligure","5293","5610","10903"
"009030","Garlenda","695","702","1397"
"009031","Giustenice","484","508","992"
"009032","Giusvalla","196","193","389"
"009033","Laigueglia","787","894","1681"
"009034","Loano","5070","5640","10710"
"009035","Magliolo","496","496","992"
"009036","Mallare","501","516","1017"
"009037","Massimino","51","51","102"
"009038","Millesimo","1625","1709","3334"
"009039","Mioglia","245","257","502"
"009040","Murialdo","368","347","715"
"009041","Nasino","77","68","145"
"009042","Noli","1152","1221","2373"
"009043","Onzo","101","108","209"
"009044","Orco Feglino","460","441","901"
"009045","Ortovero","827","862","1689"
"009046","Osiglia","201","200","401"
"009047","Pallare","426","441","867"
"009048","Piana Crixia","378","371","749"
"009049","Pietra Ligure","3920","4304","8224"
"009050","Plodio","307","309","616"
"009051","Pontinvrea","411","396","807"
"009052","Quiliano","3338","3480","6818"
"009053","Rialto","267","259","526"
"009054","Roccavignale","392","363","755"
"009055","Sassello","862","838","1700"
"009056","Savona","27815","30606","58421"
"009057","Spotorno","1589","1725","3314"
"009058","Stella","1500","1445","2945"
"009059","Stellanello","416","390","806"
"009060","Testico","86","87","173"
"009061","Toirano","1329","1395","2724"
"009062","Tovo San Giacomo","1233","1274","2507"
"009063","Urbe","345","306","651"
"009064","Vado Ligure","3867","4100","7967"
"009065","Varazze","6041","6368","12409"
"009066","Vendone","170","173","343"
"009067","Vezzi Portio","390","405","795"
"009068","Villanova d'Albenga","1435","1453","2888"
"009069","Zuccarello","133","151","284"
