"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"052001","Abbadia San Salvatore","3111","3006","6117"
"052002","Asciano","3338","3444","6782"
"052003","Buonconvento","1424","1512","2936"
"052004","Casole d'Elsa","1827","1842","3669"
"052005","Castellina in Chianti","1355","1236","2591"
"052006","Castelnuovo Berardenga","4295","4469","8764"
"052007","Castiglione d'Orcia","1016","1030","2046"
"052008","Cetona","1173","1268","2441"
"052009","Chianciano Terme","3673","3470","7143"
"052010","Chiusdino","838","866","1704"
"052011","Chiusi","4034","4018","8052"
"052012","Colle di Val d'Elsa","10575","11090","21665"
"052013","Gaiole in Chianti","1260","1200","2460"
"052015","Montepulciano","6286","6731","13017"
"052016","Monteriggioni","4962","5101","10063"
"052017","Monteroni d'Arbia","4431","4588","9019"
"052018","Monticiano","880","756","1636"
"052019","Murlo","1307","1168","2475"
"052020","Piancastagnaio","1867","1972","3839"
"052021","Pienza","903","997","1900"
"052022","Poggibonsi","13779","14269","28048"
"052023","Radda in Chianti","698","733","1431"
"052024","Radicofani","495","529","1024"
"052025","Radicondoli","513","456","969"
"052026","Rapolano Terme","2494","2609","5103"
"052027","San Casciano dei Bagni","709","708","1417"
"052028","San Gimignano","3847","3616","7463"
"052030","San Quirico d'Orcia","1231","1299","2530"
"052031","Sarteano","2186","2308","4494"
"052032","Siena","24914","28266","53180"
"052033","Sinalunga","5923","6170","12093"
"052034","Sovicille","4771","5073","9844"
"052035","Torrita di Siena","3424","3518","6942"
"052036","Trequanda","555","560","1115"
"052037","Montalcino","2713","2817","5530"
