"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"089001","Augusta","17260","17437","34697"
"089002","Avola","15133","15550","30683"
"089003","Buccheri","788","904","1692"
"089004","Buscemi","479","456","935"
"089005","Canicattini Bagni","3122","3360","6482"
"089006","Carlentini","8204","8679","16883"
"089007","Cassaro","365","356","721"
"089008","Ferla","1098","1121","2219"
"089009","Floridia","10285","10712","20997"
"089010","Francofonte","5649","5835","11484"
"089011","Lentini","10220","10802","21022"
"089012","Melilli","6648","6479","13127"
"089013","Noto","12496","12160","24656"
"089014","Pachino","11521","10834","22355"
"089015","Palazzolo Acreide","3859","4053","7912"
"089016","Rosolini","10311","10344","20655"
"089017","Siracusa","56764","58751","115515"
"089018","Solarino","3694","3816","7510"
"089019","Sortino","3947","4030","7977"
"089020","Portopalo di Capo Passero","1975","1915","3890"
"089021","Priolo Gargallo","5421","5617","11038"
