"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"014001","Albaredo per San Marco","145","133","278"
"014002","Albosaggia","1486","1520","3006"
"014003","Andalo Valtellino","322","279","601"
"014004","Aprica","698","735","1433"
"014005","Ardenno","1638","1590","3228"
"014006","Bema","59","58","117"
"014007","Berbenno di Valtellina","2064","2002","4066"
"014008","Bianzone","637","626","1263"
"014009","Bormio","1924","1984","3908"
"014010","Buglio in Monte","1025","1032","2057"
"014011","Caiolo","540","494","1034"
"014012","Campodolcino","458","456","914"
"014013","Caspoggio","664","652","1316"
"014014","Castello dell'Acqua","304","303","607"
"014015","Castione Andevenno","792","780","1572"
"014016","Cedrasco","200","223","423"
"014017","Cercino","411","395","806"
"014018","Chiavenna","3470","3824","7294"
"014019","Chiesa in Valmalenco","1109","1110","2219"
"014020","Chiuro","1191","1243","2434"
"014021","Cino","171","167","338"
"014022","Civo","588","551","1139"
"014023","Colorina","717","640","1357"
"014024","Cosio Valtellino","2832","2754","5586"
"014025","Dazio","255","266","521"
"014026","Delebio","1697","1656","3353"
"014027","Dubino","1944","1903","3847"
"014028","Faedo Valtellino","263","245","508"
"014029","Forcola","387","366","753"
"014030","Fusine","275","270","545"
"014031","Gerola Alta","91","67","158"
"014032","Gordona","980","976","1956"
"014033","Grosio","2030","2200","4230"
"014034","Grosotto","810","831","1641"
"014035","Madesimo","269","236","505"
"014036","Lanzada","639","588","1227"
"014037","Livigno","3451","3212","6663"
"014038","Lovero","309","299","608"
"014039","Mantello","365","382","747"
"014040","Mazzo di Valtellina","496","513","1009"
"014041","Mello","482","468","950"
"014043","Mese","926","963","1889"
"014044","Montagna in Valtellina","1394","1551","2945"
"014045","Morbegno","6044","6377","12421"
"014046","Novate Mezzola","942","981","1923"
"014047","Pedesina","21","19","40"
"014048","Piantedo","719","706","1425"
"014049","Piateda","1014","1045","2059"
"014050","Piuro","947","970","1917"
"014051","Poggiridenti","898","927","1825"
"014052","Ponte in Valtellina","1111","1106","2217"
"014053","Postalesio","328","319","647"
"014054","Prata Camportaccio","1484","1458","2942"
"014055","Rasura","146","131","277"
"014056","Rogolo","283","292","575"
"014057","Samolaco","1415","1456","2871"
"014058","San Giacomo Filippo","193","178","371"
"014059","Sernio","253","247","500"
"014060","Sondalo","1922","1937","3859"
"014061","Sondrio","10222","11273","21495"
"014062","Spriana","41","44","85"
"014063","Talamona","2291","2291","4582"
"014064","Tartano","109","89","198"
"014065","Teglio","2331","2352","4683"
"014066","Tirano","4267","4582","8849"
"014067","Torre di Santa Maria","360","352","712"
"014068","Tovo di Sant'Agata","313","298","611"
"014069","Traona","1512","1391","2903"
"014070","Tresivio","1020","1018","2038"
"014071","Valdidentro","2095","2012","4107"
"014072","Valdisotto","1774","1755","3529"
"014073","Valfurva","1215","1216","2431"
"014074","Val Masino","429","396","825"
"014075","Verceia","536","555","1091"
"014076","Vervio","111","93","204"
"014077","Villa di Chiavenna","516","476","992"
"014078","Villa di Tirano","1508","1505","3013"
