Codice comune,Comune,Totale maschi,Totale femmine,Totale
119001,Buggerru,519,488,1007
119002,Calasetta,1393,1383,2776
119003,Carbonia,12176,13177,25353
119004,Carloforte,2881,2970,5851
119005,Domusnovas,2815,2879,5694
119006,Fluminimaggiore,1265,1310,2575
119007,Giba,912,949,1861
119008,Gonnesa,2216,2240,4456
119009,Iglesias,11756,12653,24409
119010,Masainas,572,631,1203
119011,Musei,771,741,1512
119012,Narcao,1510,1457,2967
119013,Nuxis,673,709,1382
119014,Perdaxius,639,637,1276
119015,Piscinas,370,388,758
119016,Portoscuso,2317,2372,4689
119017,San Giovanni Suergiu,2763,2760,5523
119019,Sant'Anna Arresi,1328,1298,2626
119020,Sant'Antioco,5097,5307,10404
119018,Santadi,1490,1539,3029
119024,Teulada,1631,1525,3156
119021,Tratalias,507,481,988
119022,Villamassargia,1651,1627,3278
119023,Villaperuccio,487,520,1007
