"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"073001","Avetrana","2957","3152","6109"
"073002","Carosino","3134","3246","6380"
"073003","Castellaneta","7711","8087","15798"
"073004","Crispiano","6311","6505","12816"
"073005","Faggiano","1656","1710","3366"
"073006","Fragagnano","2358","2531","4889"
"073007","Ginosa","11037","10684","21721"
"073008","Grottaglie","14492","15484","29976"
"073009","Laterza","7183","7401","14584"
"073010","Leporano","4158","4044","8202"
"073011","Lizzano","4625","4819","9444"
"073012","Manduria","14388","15140","29528"
"073013","Martina Franca","22581","24172","46753"
"073014","Maruggio","2566","2572","5138"
"073015","Massafra","15862","15904","31766"
"073016","Monteiasi","2498","2692","5190"
"073017","Montemesola","1681","1786","3467"
"073018","Monteparano","1083","1156","2239"
"073019","Mottola","7345","7758","15103"
"073020","Palagianello","3623","3806","7429"
"073021","Palagiano","7966","7746","15712"
"073022","Pulsano","5544","5618","11162"
"073023","Roccaforzata","841","888","1729"
"073024","San Giorgio Ionico","6656","7194","13850"
"073025","San Marzano di San Giuseppe","4383","4413","8796"
"073026","Sava","7334","7699","15033"
"073027","Taranto","89179","95933","185112"
"073028","Torricella","2030","2066","4096"
"073029","Statte","6070","6470","12540"
