"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"067001","Alba Adriatica","6454","6871","13325"
"067002","Ancarano","916","958","1874"
"067003","Arsita","360","357","717"
"067004","Atri","4864","4950","9814"
"067005","Basciano","1169","1143","2312"
"067006","Bellante","3383","3450","6833"
"067007","Bisenti","829","813","1642"
"067008","Campli","3347","3265","6612"
"067009","Canzano","870","866","1736"
"067010","Castel Castagna","208","192","400"
"067011","Castellalto","3614","3620","7234"
"067012","Castelli","458","449","907"
"067013","Castiglione Messer Raimondo","987","974","1961"
"067014","Castilenti","682","625","1307"
"067015","Cellino Attanasio","1094","1090","2184"
"067016","Cermignano","696","701","1397"
"067017","Civitella del Tronto","2290","2265","4555"
"067018","Colledara","1068","1010","2078"
"067019","Colonnella","1899","1819","3718"
"067020","Controguerra","1065","1109","2174"
"067021","Corropoli","2534","2624","5158"
"067022","Cortino","295","246","541"
"067023","Crognaleto","576","433","1009"
"067024","Fano Adriano","137","106","243"
"067025","Giulianova","11216","12340","23556"
"067026","Isola del Gran Sasso d'Italia","2180","2220","4400"
"067027","Montefino","458","438","896"
"067028","Montorio al Vomano","3663","3681","7344"
"067029","Morro d'Oro","1755","1775","3530"
"067030","Mosciano Sant'Angelo","4719","4487","9206"
"067031","Nereto","2679","2786","5465"
"067032","Notaresco","3180","3171","6351"
"067033","Penna Sant'Andrea","826","801","1627"
"067034","Pietracamela","115","81","196"
"067035","Pineto","7063","7698","14761"
"067036","Rocca Santa Maria","235","215","450"
"067037","Roseto degli Abruzzi","12794","13144","25938"
"067038","Sant'Egidio alla Vibrata","4913","5000","9913"
"067039","Sant'Omero","2493","2584","5077"
"067040","Silvi","7606","7872","15478"
"067041","Teramo","25033","26367","51400"
"067042","Torano Nuovo","712","728","1440"
"067043","Torricella Sicura","1193","1172","2365"
"067044","Tortoreto","5918","6288","12206"
"067045","Tossicia","582","622","1204"
"067046","Valle Castellana","441","377","818"
"067047","Martinsicuro","8142","8341","16483"
