"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"055001","Acquasparta","2109","2221","4330"
"055002","Allerona","830","849","1679"
"055003","Alviano","631","687","1318"
"055004","Amelia","5671","5733","11404"
"055005","Arrone","1205","1299","2504"
"055006","Attigliano","996","966","1962"
"055007","Baschi","1264","1280","2544"
"055008","Calvi dell'Umbria","817","843","1660"
"055009","Castel Giorgio","954","1038","1992"
"055010","Castel Viscardo","1285","1355","2640"
"055011","Fabro","1246","1324","2570"
"055012","Ferentillo","878","889","1767"
"055013","Ficulle","779","769","1548"
"055014","Giove","892","937","1829"
"055015","Guardea","846","868","1714"
"055016","Lugnano in Teverina","699","691","1390"
"055017","Montecastrilli","2344","2443","4787"
"055018","Montecchio","721","706","1427"
"055019","Montefranco","620","623","1243"
"055020","Montegabbione","552","543","1095"
"055021","Monteleone d'Orvieto","635","722","1357"
"055022","Narni","8535","9091","17626"
"055023","Orvieto","9120","9932","19052"
"055024","Otricoli","841","876","1717"
"055025","Parrano","245","247","492"
"055026","Penna in Teverina","503","521","1024"
"055027","Polino","127","106","233"
"055028","Porano","871","945","1816"
"055029","San Gemini","2219","2392","4611"
"055030","San Venanzo","1104","1018","2122"
"055031","Stroncone","2339","2267","4606"
"055032","Terni","51087","55185","106272"
"055033","Avigliano Umbro","1178","1130","2308"
