"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"001001","Agliè","1259","1325","2584"
"001002","Airasca","1873","1825","3698"
"001003","Ala di Stura","240","228","468"
"001004","Albiano d'Ivrea","791","842","1633"
"001006","Almese","3034","3197","6231"
"001007","Alpette","125","110","235"
"001008","Alpignano","8238","8275","16513"
"001009","Andezeno","995","984","1979"
"001010","Andrate","252","216","468"
"001011","Angrogna","421","373","794"
"001012","Arignano","559","517","1076"
"001013","Avigliana","5896","6139","12035"
"001014","Azeglio","603","621","1224"
"001015","Bairo","366","412","778"
"001016","Balangero","1493","1602","3095"
"001017","Baldissero Canavese","241","252","493"
"001018","Baldissero Torinese","1801","1891","3692"
"001019","Balme","51","46","97"
"001020","Banchette","1494","1603","3097"
"001021","Barbania","787","776","1563"
"001022","Bardonecchia","1435","1418","2853"
"001023","Barone Canavese","264","261","525"
"001024","Beinasco","8334","8938","17272"
"001025","Bibiana","1761","1601","3362"
"001026","Bobbio Pellice","257","270","527"
"001027","Bollengo","1057","1042","2099"
"001028","Borgaro Torinese","5586","5937","11523"
"001029","Borgiallo","301","286","587"
"001030","Borgofranco d'Ivrea","1644","1780","3424"
"001031","Borgomasino","374","396","770"
"001032","Borgone Susa","1150","1100","2250"
"001033","Bosconero","1499","1545","3044"
"001034","Brandizzo","4274","4498","8772"
"001035","Bricherasio","2303","2308","4611"
"001036","Brosso","189","198","387"
"001037","Brozolo","214","209","423"
"001038","Bruino","4097","4267","8364"
"001039","Brusasco","754","741","1495"
"001040","Bruzolo","751","762","1513"
"001041","Buriasco","635","654","1289"
"001042","Burolo","520","575","1095"
"001043","Busano","807","771","1578"
"001044","Bussoleno","2811","2955","5766"
"001045","Buttigliera Alta","3074","3148","6222"
"001046","Cafasse","1688","1700","3388"
"001047","Caluso","3563","3775","7338"
"001048","Cambiano","2848","3036","5884"
"001049","Campiglione Fenile","639","658","1297"
"001050","Candia Canavese","544","599","1143"
"001051","Candiolo","2779","2784","5563"
"001052","Canischio","136","133","269"
"001053","Cantalupa","1268","1313","2581"
"001054","Cantoira","356","289","645"
"001055","Caprie","1020","994","2014"
"001056","Caravino","435","456","891"
"001057","Carema","344","353","697"
"001058","Carignano","4600","4650","9250"
"001059","Carmagnola","13749","14222","27971"
"001060","Casalborgone","902","963","1865"
"001061","Cascinette d'Ivrea","716","787","1503"
"001062","Caselette","1513","1511","3024"
"001063","Caselle Torinese","6806","6932","13738"
"001064","Castagneto Po","895","853","1748"
"001065","Castagnole Piemonte","1104","1064","2168"
"001066","Castellamonte","4897","4942","9839"
"001067","Castelnuovo Nigra","221","196","417"
"001068","Castiglione Torinese","3236","3283","6519"
"001069","Cavagnolo","1171","1186","2357"
"001070","Cavour","2688","2685","5373"
"001071","Cercenasco","861","899","1760"
"001072","Ceres","494","463","957"
