"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"081001","Alcamo","22276","22385","44661"
"081002","Buseto Palizzolo","1327","1400","2727"
"081003","Calatafimi-Segesta","2942","3013","5955"
"081004","Campobello di Mazara","5567","5554","11121"
"081005","Castellammare del Golfo","7421","7214","14635"
"081006","Castelvetrano","14451","14906","29357"
"081007","Custonaci","2607","2627","5234"
"081008","Erice","12324","13249","25573"
"081009","Favignana","2327","2213","4540"
"081010","Gibellina","1743","1893","3636"
"081011","Marsala","39563","39958","79521"
"081012","Mazara del Vallo","24865","25205","50070"
"081013","Paceco","5144","5400","10544"
"081014","Pantelleria","3611","3539","7150"
"081015","Partanna","4817","5018","9835"
"081016","Poggioreale","632","640","1272"
"081017","Salaparuta","766","794","1560"
"081018","Salemi","4836","4883","9719"
"081019","Santa Ninfa","2292","2421","4713"
"081020","San Vito Lo Capo","2456","2409","4865"
"081021","Trapani","26569","28067","54636"
"081022","Valderice","5627","5612","11239"
"081023","Vita","826","884","1710"
"081024","Petrosino","4051","3832","7883"
"081025","Misiliscemi","4297","4149","8446"
