"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"022001","Ala","4496","4402","8898"
"022002","Albiano","788","761","1549"
"022003","Aldeno","1665","1695","3360"
"022005","Andalo","593","644","1237"
"022006","Arco","8676","9071","17747"
"022007","Avio","2052","2066","4118"
"022009","Baselga di Pinè","2673","2653","5326"
"022011","Bedollo","756","744","1500"
"022013","Besenello","1428","1406","2834"
"022015","Bieno","235","246","481"
"022017","Bleggio Superiore","788","757","1545"
"022018","Bocenago","211","199","410"
"022021","Bondone","316","311","627"
"022022","Borgo Valsugana","3628","3624","7252"
"022025","Brentonico","2102","2082","4184"
"022026","Bresimo","120","120","240"
"022029","Caderzone Terme","357","335","692"
"022032","Calceranica al Lago","696","701","1397"
"022033","Caldes","558","564","1122"
"022034","Caldonazzo","1946","2064","4010"
"022035","Calliano","1048","1009","2057"
"022036","Campitello di Fassa","324","337","661"
"022037","Campodenno","804","728","1532"
"022038","Canal San Bovo","718","766","1484"
"022039","Canazei","904","999","1903"
"022040","Capriana","308","290","598"
"022042","Carisolo","439","456","895"
"022043","Carzano","259","259","518"
"022045","Castel Condino","107","104","211"
"022047","Castello-Molina di Fiemme","1165","1162","2327"
"022048","Castello Tesino","596","561","1157"
"022049","Castelnuovo","546","542","1088"
"022050","Cavalese","1957","2069","4026"
"022051","Cavareno","592","563","1155"
"022052","Cavedago","317","292","609"
"022053","Cavedine","1563","1540","3103"
"022054","Cavizzana","111","120","231"
"022058","Cimone","379","364","743"
"022059","Cinte Tesino","178","174","352"
"022060","Cis","140","154","294"
"022061","Civezzano","2090","2087","4177"
"022062","Cles","3636","3844","7480"
"022064","Commezzadura","499","506","1005"
"022068","Croviana","343","334","677"
"022071","Dambel","206","185","391"
"022074","Denno","647","599","1246"
"022078","Drena","312","297","609"
"022079","Dro","2530","2558","5088"
"022081","Fai della Paganella","469","472","941"
"022083","Fiavè","542","561","1103"
"022085","Fierozzo","246","208","454"
"022087","Folgaria","1571","1598","3169"
"022089","Fornace","706","657","1363"
"022090","Frassilongo","174","162","336"
"022091","Garniga Terme","226","201","427"
"022092","Giovo","1294","1224","2518"
"022093","Giustino","373","379","752"
"022095","Grigno","1009","1021","2030"
"022097","Imer","593","559","1152"
"022098","Isera","1399","1417","2816"
"022102","Lavarone","610","595","1205"
"022103","Lavis","4583","4625","9208"
"022104","Levico Terme","4085","4249","8334"
"022106","Livo","395","379","774"
"022108","Lona-Lases","452","430","882"
"022109","Luserna","130","133","263"
"022110","Malé","1120","1176","2296"
"022112","Massimeno","71","63","134"
"022113","Mazzin","297","319","616"
"022114","Mezzana","429","454","883"
"022115","Mezzano","803","781","1584"
"022116","Mezzocorona","2679","2783","5462"
"022117","Mezzolombardo","3882","3917","7799"
"022118","Moena","1233","1318","2551"
"022120","Molveno","525","575","1100"
"022123","Mori","5172","5156","10328"
"022124","Nago-Torbole","1372","1360","2732"
"022127","Nogaredo","1068","1036","2104"
"022128","Nomi","665","695","1360"
"022129","Novaledo","563","588","1151"
"022130","Ospedaletto","407","385","792"
"022131","Ossana","403","423","826"
"022133","Palù del Fersina","85","88","173"
"022134","Panchià","403","416","819"
"022135","Ronzo-Chienis","534","470","1004"
"022136","Peio","934","861","1795"
"022137","Pellizzano","364","376","740"
"022138","Pelugo","184","204","388"
"022139","Pergine Valsugana","10556","11079","21635"
"022142","Pieve Tesino","338","328","666"
"022143","Pinzolo","1496","1580","3076"
"022144","Pomarolo","1234","1182","2416"
"022147","Predazzo","2220","2290","4510"
"022150","Rabbi","706","668","1374"
"022153","Riva del Garda","8550","9208","17758"
"022155","Romeno","786","743","1529"
"022156","Roncegno Terme","1498","1522","3020"
"022157","Ronchi Valsugana","237","213","450"
"022159","Ronzone","263","252","515"
"022160","Roverè della Luna","857","801","1658"
"022161","Rovereto","19516","20997","40513"
"022162","Ruffrè-Mendola","217","182","399"
"022163","Rumo","399","384","783"
"022164","Sagron Mis","88","83","171"
"022165","Samone","268","272","540"
"022167","San Michele all'Adige","2066","2032","4098"
"022168","Sant'Orsola Terme","576","565","1141"
"022169","Sanzeno","458","442","900"
"022170","Sarnonico","388","395","783"
"022171","Scurelle","688","693","1381"
"022172","Segonzano","703","705","1408"
"022173","Sfruz","189","194","383"
"022176","Soraga di Fassa","364","350","714"
"022177","Sover","415","392","807"
"022179","Spiazzo","633","642","1275"
