"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"026001","Altivole","3505","3583","7088"
"026002","Arcade","2257","2219","4476"
"026003","Asolo","4514","4403","8917"
"026004","Borso del Grappa","3013","2958","5971"
"026005","Breda di Piave","3804","3838","7642"
"026006","Caerano di San Marco","3854","3965","7819"
"026007","Cappella Maggiore","2303","2359","4662"
"026008","Carbonera","5561","5678","11239"
"026009","Casale sul Sile","6436","6631","13067"
"026010","Casier","5641","5784","11425"
"026011","Castelcucco","1154","1163","2317"
"026012","Castelfranco Veneto","16276","16965","33241"
"026013","Castello di Godego","3438","3460","6898"
"026014","Cavaso del Tomba","1459","1482","2941"
"026015","Cessalto","1943","1892","3835"
"026016","Chiarano","1724","1613","3337"
"026017","Cimadolmo","1701","1663","3364"
"026018","Cison di Valmarino","1177","1234","2411"
"026019","Codognè","2704","2542","5246"
"026020","Colle Umberto","2463","2509","4972"
"026021","Conegliano","16759","17916","34675"
"026022","Cordignano","3341","3443","6784"
"026023","Cornuda","2992","3025","6017"
"026025","Crocetta del Montello","2983","3091","6074"
"026026","Farra di Soligo","4171","4326","8497"
"026027","Follina","1751","1863","3614"
"026028","Fontanelle","2755","2804","5559"
"026029","Fonte","3125","2938","6063"
"026030","Fregona","1357","1381","2738"
"026031","Gaiarine","2959","2867","5826"
"026032","Giavera del Montello","2593","2517","5110"
"026033","Godega di Sant'Urbano","2979","3035","6014"
"026034","Gorgo al Monticano","2026","1950","3976"
"026035","Istrana","4707","4381","9088"
"026036","Loria","4752","4469","9221"
"026037","Mansuè","2499","2351","4850"
"026038","Mareno di Piave","4715","4638","9353"
"026039","Maser","2509","2585","5094"
"026040","Maserada sul Piave","4516","4633","9149"
"026041","Meduna di Livenza","1481","1491","2972"
"026042","Miane","1481","1497","2978"
"026043","Mogliano Veneto","13891","14254","28145"
"026044","Monastier di Treviso","2188","2244","4432"
"026045","Monfumo","640","660","1300"
"026046","Montebelluna","15232","15912","31144"
"026047","Morgano","2264","2249","4513"
"026048","Moriago della Battaglia","1445","1412","2857"
"026049","Motta di Livenza","5180","5342","10522"
"026050","Nervesa della Battaglia","3293","3302","6595"
"026051","Oderzo","10074","10274","20348"
"026052","Ormelle","2241","2239","4480"
"026053","Orsago","1818","1902","3720"
"026055","Paese","10988","11196","22184"
"026056","Pederobba","3647","3610","7257"
"026057","Pieve di Soligo","5682","5770","11452"
"026058","Ponte di Piave","4208","4123","8331"
"026059","Ponzano Veneto","6407","6620","13027"
"026060","Portobuffolè","372","375","747"
"026061","Possagno","1190","1109","2299"
"026062","Povegliano","2578","2565","5143"
"026063","Preganziol","8270","8468","16738"
"026064","Quinto di Treviso","4979","5114","10093"
"026065","Refrontolo","853","844","1697"
"026066","Resana","4678","4662","9340"
"026067","Revine Lago","1055","1044","2099"
"026068","Riese Pio X","5517","5404","10921"
"026069","Roncade","7247","7345","14592"
"026070","Salgareda","3287","3236","6523"
"026071","San Biagio di Callalta","6350","6281","12631"
"026072","San Fior","3441","3402","6843"
"026073","San Pietro di Feletto","2472","2660","5132"
"026074","San Polo di Piave","2478","2317","4795"
"026075","Santa Lucia di Piave","4553","4503","9056"
"026076","San Vendemiano","4758","4922","9680"
"026077","San Zenone degli Ezzelini","3774","3544","7318"
"026078","Sarmede","1479","1481","2960"
"026079","Segusino","914","890","1804"
"026080","Sernaglia della Battaglia","3098","3047","6145"
"026081","Silea","5083","5376","10459"
"026082","Spresiano","6171","6229","12400"
"026083","Susegana","5873","5825","11698"
"026084","Tarzo","2036","2083","4119"
"026085","Trevignano","5390","5286","10676"
"026086","Treviso","41900","44213","86113"
"026087","Valdobbiadene","4837","5035","9872"
"026088","Vazzola","3349","3325","6674"
"026089","Vedelago","8330","8228","16558"
"026090","Vidor","1753","1806","3559"
"026091","Villorba","8574","8989","17563"
"026092","Vittorio Veneto","13308","13934","27242"
"026093","Volpago del Montello","4947","5042","9989"
"026094","Zenson di Piave","850","915","1765"
"026095","Zero Branco","5815","5880","11695"
"026096","Pieve del Grappa","3229","3347","6576"
