"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"030001","Aiello del Friuli","1001","1085","2086"
"030002","Amaro","426","428","854"
"030003","Ampezzo","448","429","877"
"030004","Aquileia","1527","1597","3124"
"030005","Arta Terme","984","987","1971"
"030006","Artegna","1405","1493","2898"
"030007","Attimis","813","851","1664"
"030008","Bagnaria Arsa","1674","1729","3403"
"030009","Basiliano","2558","2590","5148"
"030010","Bertiolo","1145","1185","2330"
"030011","Bicinicco","867","866","1733"
"030012","Bordano","337","352","689"
"030013","Buja","3075","3261","6336"
"030014","Buttrio","1947","1951","3898"
"030015","Camino al Tagliamento","756","752","1508"
"030016","Campoformido","3863","3969","7832"
"030018","Carlino","1286","1320","2606"
"030019","Cassacco","1367","1420","2787"
"030020","Castions di Strada","1789","1893","3682"
"030021","Cavazzo Carnico","469","490","959"
"030022","Cercivento","305","299","604"
"030023","Cervignano del Friuli","6859","6884","13743"
"030024","Chiopris-Viscone","334","373","707"
"030025","Chiusaforte","306","276","582"
"030026","Cividale del Friuli","5192","5612","10804"
"030027","Codroipo","7777","7944","15721"
"030028","Colloredo di Monte Albano","1073","1111","2184"
"030029","Comeglians","214","208","422"
"030030","Corno di Rosazzo","1525","1574","3099"
"030031","Coseano","974","1003","1977"
"030032","Dignano","1077","1144","2221"
"030033","Dogna","75","73","148"
"030034","Drenchia","47","41","88"
"030035","Enemonzo","614","617","1231"
"030036","Faedis","1389","1342","2731"
"030037","Fagagna","3018","3058","6076"
"030039","Flaibano","549","564","1113"
"030040","Forni Avoltri","259","236","495"
"030041","Forni di Sopra","453","437","890"
"030042","Forni di Sotto","252","266","518"
"030043","Gemona del Friuli","4989","5427","10416"
"030044","Gonars","2241","2311","4552"
"030045","Grimacco","152","147","299"
"030046","Latisana","6346","6816","13162"
"030047","Lauco","320","306","626"
"030048","Lestizza","1777","1792","3569"
"030049","Lignano Sabbiadoro","3445","3528","6973"
"030051","Lusevera","303","308","611"
"030052","Magnano in Riviera","1117","1115","2232"
"030053","Majano","2731","2972","5703"
"030054","Malborghetto Valbruna","466","422","888"
"030055","Manzano","3073","3202","6275"
"030056","Marano Lagunare","822","855","1677"
"030057","Martignacco","3305","3530","6835"
"030058","Mereto di Tomba","1253","1244","2497"
"030059","Moggio Udinese","789","800","1589"
"030060","Moimacco","786","781","1567"
"030061","Montenars","254","240","494"
"030062","Mortegliano","2334","2505","4839"
"030063","Moruzzo","1181","1211","2392"
"030064","Muzzana del Turgnano","1147","1173","2320"
"030065","Nimis","1309","1319","2628"
"030066","Osoppo","1410","1393","2803"
"030067","Ovaro","857","829","1686"
"030068","Pagnacco","2488","2592","5080"
"030069","Palazzolo dello Stella","1422","1471","2893"
"030070","Palmanova","2552","2730","5282"
"030071","Paluzza","942","950","1892"
"030072","Pasian di Prato","4504","4787","9291"
"030073","Paularo","1149","1129","2278"
"030074","Pavia di Udine","2700","2766","5466"
"030075","Pocenia","1151","1136","2287"
"030076","Pontebba","644","648","1292"
"030077","Porpetto","1193","1232","2425"
"030078","Povoletto","2676","2711","5387"
"030079","Pozzuolo del Friuli","3384","3507","6891"
"030080","Pradamano","1709","1827","3536"
"030081","Prato Carnico","410","386","796"
"030082","Precenicco","735","729","1464"
"030083","Premariacco","1907","2012","3919"
"030084","Preone","122","125","247"
"030085","Prepotto","349","347","696"
"030086","Pulfero","418","414","832"
"030087","Ragogna","1413","1430","2843"
"030088","Ravascletto","262","235","497"
"030089","Raveo","217","208","425"
"030090","Reana del Rojale","2330","2393","4723"
"030091","Remanzacco","2866","3038","5904"
"030092","Resia","463","441","904"
"030093","Resiutta","133","133","266"
"030094","Rigolato","184","170","354"
"030095","Rive d'Arcano","1173","1227","2400"
"030097","Ronchis","962","977","1939"
"030098","Ruda","1378","1424","2802"
"030099","San Daniele del Friuli","3838","4071","7909"
"030100","San Giorgio di Nogaro","3650","3635","7285"
"030101","San Giovanni al Natisone","3066","2929","5995"
"030102","San Leonardo","534","487","1021"
"030103","San Pietro al Natisone","1022","1047","2069"
"030104","Santa Maria la Longa","1117","1186","2303"
"030105","San Vito al Torre","616","607","1223"
"030106","San Vito di Fagagna","814","854","1668"
"030107","Sauris","185","190","375"
"030108","Savogna","181","168","349"
"030109","Sedegliano","1859","1836","3695"
"030110","Socchieve","435","411","846"
"030111","Stregna","160","129","289"
"030112","Sutrio","587","604","1191"
"030113","Taipana","271","258","529"
"030114","Talmassons","1897","1924","3821"
"030116","Tarcento","4303","4583","8886"
"030117","Tarvisio","1949","1901","3850"
"030118","Tavagnacco","6972","7611","14583"
"030120","Terzo d'Aquileia","1320","1385","2705"
"030121","Tolmezzo","4599","5039","9638"
"030122","Torreano","1003","1040","2043"
"030123","Torviscosa","1272","1300","2572"
"030124","Trasaghis","1027","1033","2060"
"030126","Treppo Grande","827","897","1724"
"030127","Tricesimo","3659","3946","7605"
"030128","Trivignano Udinese","755","759","1514"
"030129","Udine","46784","51717","98501"
"030130","Varmo","1331","1274","2605"
"030131","Venzone","973","968","1941"
"030132","Verzegnis","428","406","834"
"030133","Villa Santina","1009","1144","2153"
"030135","Visco","412","426","838"
"030136","Zuglio","267","268","535"
"030137","Forgaria nel Friuli","829","838","1667"
"030138","Campolongo Tapogliano","544","561","1105"
"030188","Rivignano Teor","3189","3120","6309"
"030189","Sappada","650","651","1301"
"030190","Fiumicello Villa Vicentina","3077","3174","6251"
"030191","Treppo Ligosullo","337","317","654"
