"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"007001","Allein","99","98","197"
"007002","Antey-Saint-André","276","276","552"
"007003","Aosta","15694","17433","33127"
"007004","Arnad","584","631","1215"
"007005","Arvier","406","413","819"
"007006","Avise","143","151","294"
"007007","Ayas","701","669","1370"
"007008","Aymavilles","1026","1067","2093"
"007009","Bard","40","59","99"
"007010","Bionaz","113","99","212"
"007011","Brissogne","500","479","979"
"007012","Brusson","410","413","823"
"007013","Challand-Saint-Anselme","390","365","755"
"007014","Challand-Saint-Victor","295","282","577"
"007015","Chambave","428","452","880"
"007016","Chamois","64","49","113"
"007017","Champdepraz","338","364","702"
"007018","Champorcher","183","177","360"
"007019","Charvensod","1180","1231","2411"
"007020","Châtillon","2107","2192","4299"
"007021","Cogne","663","666","1329"
"007022","Courmayeur","1266","1228","2494"
"007023","Donnas","1162","1232","2394"
"007024","Doues","247","262","509"
"007025","Emarèse","115","117","232"
"007026","Etroubles","258","226","484"
"007027","Fénis","862","917","1779"
"007028","Fontainemore","228","209","437"
"007029","Gaby","203","201","404"
"007030","Gignod","841","838","1679"
"007031","Gressan","1616","1707","3323"
"007032","Gressoney-La-Trinité","154","167","321"
"007033","Gressoney-Saint-Jean","388","381","769"
"007034","Hône","561","603","1164"
"007035","Introd","327","315","642"
"007036","Issime","187","185","372"
"007037","Issogne","646","637","1283"
"007038","Jovençan","362","339","701"
"007039","La Magdeleine","60","47","107"
"007040","La Salle","1030","1005","2035"
"007041","La Thuile","391","355","746"
"007042","Lillianes","194","216","410"
"007043","Montjovet","893","869","1762"
"007044","Morgex","1004","1062","2066"
"007045","Nus","1453","1463","2916"
"007046","Ollomont","86","83","169"
"007047","Oyace","105","102","207"
"007048","Perloz","211","228","439"
"007049","Pollein","735","711","1446"
"007050","Pontboset","96","81","177"
"007051","Pontey","391","380","771"
"007052","Pont-Saint-Martin","1705","1812","3517"
"007053","Pré-Saint-Didier","513","442","955"
"007054","Quart","2064","2087","4151"
"007055","Rhêmes-Notre-Dame","40","34","74"
"007056","Rhêmes-Saint-Georges","89","76","165"
"007057","Roisan","498","486","984"
"007058","Saint-Christophe","1732","1704","3436"
"007059","Saint-Denis","195","177","372"
"007060","Saint-Marcel","626","657","1283"
"007061","Saint-Nicolas","181","155","336"
"007062","Saint-Oyen","81","107","188"
"007063","Saint-Pierre","1601","1641","3242"
"007064","Saint-Rhémy-en-Bosses","199","154","353"
"007065","Saint-Vincent","2173","2259","4432"
"007066","Sarre","2359","2467","4826"
"007067","Torgnon","317","260","577"
"007068","Valgrisenche","108","85","193"
"007069","Valpelline","306","271","577"
"007070","Valsavarenche","78","76","154"
"007071","Valtournenche","1182","1043","2225"
"007072","Verrayes","640","623","1263"
"007073","Verrès","1249","1286","2535"
"007074","Villeneuve","688","584","1272"
