"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"012001","Agra","189","191","380"
"012002","Albizzate","2556","2644","5200"
"012003","Angera","2541","2785","5326"
"012004","Arcisate","4844","5015","9859"
"012005","Arsago Seprio","2326","2401","4727"
"012006","Azzate","2262","2390","4652"
"012007","Azzio","377","381","758"
"012008","Barasso","812","869","1681"
"012010","Bedero Valcuvia","344","320","664"
"012011","Besano","1228","1285","2513"
"012012","Besnate","2677","2761","5438"
"012013","Besozzo","4180","4537","8717"
"012014","Biandronno","1557","1633","3190"
"012015","Bisuschio","2062","2191","4253"
"012016","Bodio Lomnago","1088","1167","2255"
"012017","Brebbia","1541","1596","3137"
"012019","Brenta","832","850","1682"
"012020","Brezzo di Bedero","627","587","1214"
"012021","Brinzio","403","362","765"
"012022","Brissago-Valtravaglia","647","669","1316"
"012023","Brunello","444","474","918"
"012024","Brusimpiano","589","585","1174"
"012025","Buguggiate","1521","1594","3115"
"012026","Busto Arsizio","40942","43653","84595"
"012027","Cadegliano-Viconago","1015","1105","2120"
"012029","Cairate","3906","3980","7886"
"012030","Cantello","2367","2499","4866"
"012031","Caravate","1246","1286","2532"
"012032","Cardano al Campo","7268","7503","14771"
"012033","Carnago","3290","3320","6610"
"012034","Caronno Pertusella","9126","9430","18556"
"012035","Caronno Varesino","2396","2404","4800"
"012036","Casale Litta","1390","1385","2775"
"012037","Casalzuigno","704","705","1409"
"012038","Casciago","1715","1834","3549"
"012039","Casorate Sempione","2730","2901","5631"
"012040","Cassano Magnago","10588","10843","21431"
"012041","Cassano Valcuvia","327","320","647"
"012042","Castellanza","6728","7162","13890"
"012043","Castello Cabiaglio","282","268","550"
"012044","Castelseprio","654","676","1330"
"012045","Castelveccana","920","935","1855"
"012046","Castiglione Olona","3715","3739","7454"
"012047","Castronno","2553","2482","5035"
"012048","Cavaria con Premezzo","2903","2866","5769"
"012049","Cazzago Brabbia","384","395","779"
"012050","Cislago","5289","5283","10572"
"012051","Cittiglio","1875","1930","3805"
"012052","Clivio","967","1015","1982"
"012053","Cocquio-Trevisago","2256","2395","4651"
"012054","Comabbio","588","589","1177"
"012055","Comerio","1323","1461","2784"
"012056","Cremenaga","372","410","782"
"012057","Crosio della Valle","326","298","624"
"012058","Cuasso al Monte","1752","1793","3545"
"012059","Cugliate-Fabiasco","1560","1559","3119"
"012060","Cunardo","1430","1450","2880"
"012061","Curiglia con Monteviasco","82","59","141"
"012062","Cuveglio","1639","1739","3378"
"012063","Cuvio","858","896","1754"
