"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"027001","Annone Veneto","2028","1889","3917"
"027002","Campagna Lupia","3503","3613","7116"
"027003","Campolongo Maggiore","5348","5350","10698"
"027004","Camponogara","6346","6633","12979"
"027005","Caorle","5311","5667","10978"
"027006","Cavarzere","6335","6395","12730"
"027007","Ceggia","3130","3120","6250"
"027008","Chioggia","23269","23682","46951"
"027009","Cinto Caomaggiore","1560","1612","3172"
"027010","Cona","1393","1374","2767"
"027011","Concordia Sagittaria","5003","5209","10212"
"027012","Dolo","7314","7679","14993"
"027013","Eraclea","5852","5968","11820"
"027014","Fiesso d'Artico","4272","4430","8702"
"027015","Fossalta di Piave","2085","2166","4251"
"027016","Fossalta di Portogruaro","2782","2965","5747"
"027017","Fossò","3489","3629","7118"
"027018","Gruaro","1312","1388","2700"
"027019","Jesolo","13154","13966","27120"
"027020","Marcon","8824","8840","17664"
"027021","Martellago","10352","10832","21184"
"027022","Meolo","3112","3043","6155"
"027023","Mira","18433","19032","37465"
"027024","Mirano","13239","13875","27114"
"027025","Musile di Piave","5719","5688","11407"
"027026","Noale","7896","8329","16225"
"027027","Noventa di Piave","3483","3532","7015"
"027028","Pianiga","6087","6218","12305"
"027029","Portogruaro","11701","12600","24301"
"027030","Pramaggiore","2346","2375","4721"
"027031","Quarto d'Altino","3922","4090","8012"
"027032","Salzano","6317","6451","12768"
"027033","San Donà di Piave","20408","21853","42261"
"027034","San Michele al Tagliamento","5534","5795","11329"
"027035","Santa Maria di Sala","8703","8785","17488"
"027036","San Stino di Livenza","6325","6401","12726"
"027037","Scorzè","9478","9518","18996"
"027038","Spinea","13503","14430","27933"
"027039","Stra","3699","3807","7506"
"027040","Teglio Veneto","1133","1091","2224"
"027041","Torre di Mosto","2368","2385","4753"
"027042","Venezia","121434","127951","249385"
"027043","Vigonovo","4833","4981","9814"
"027044","Cavallino-Treporti","6389","6716","13105"
