"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"103001","Antrona Schieranco","198","194","392"
"103002","Anzola d'Ossola","191","187","378"
"103003","Arizzano","937","1014","1951"
"103004","Arola","121","117","238"
"103005","Aurano","59","52","111"
"103006","Baceno","415","447","862"
"103007","Bannio Anzino","235","218","453"
"103008","Baveno","2188","2316","4504"
"103009","Bee","379","398","777"
"103010","Belgirate","206","244","450"
"103011","Beura-Cardezza","735","694","1429"
"103012","Bognanco","112","86","198"
"103013","Brovello-Carpugnino","412","392","804"
"103014","Calasca-Castiglione","287","294","581"
"103015","Cambiasca","780","850","1630"
"103016","Cannero Riviera","443","442","885"
"103017","Cannobio","2430","2582","5012"
"103018","Caprezzo","94","81","175"
"103019","Casale Corte Cerro","1629","1649","3278"
"103021","Ceppo Morelli","150","135","285"
"103022","Cesara","385","281","666"
"103023","Cossogno","339","323","662"
"103024","Craveggia","412","377","789"
"103025","Crevoladossola","2141","2244","4385"
"103026","Crodo","701","712","1413"
"103028","Domodossola","8384","9241","17625"
"103029","Druogno","521","508","1029"
"103031","Formazza","205","205","410"
"103032","Germagno","101","84","185"
"103033","Ghiffa","1071","1094","2165"
"103034","Gignese","568","551","1119"
"103035","Gravellona Toce","3708","3934","7642"
"103036","Gurro","84","75","159"
"103037","Intragna","47","38","85"
"103038","Loreglia","99","98","197"
"103039","Macugnaga","252","233","485"
"103040","Madonna del Sasso","177","170","347"
"103041","Malesco","668","671","1339"
"103042","Masera","739","748","1487"
"103043","Massiola","57","46","103"
"103044","Mergozzo","1059","1072","2131"
"103045","Miazzina","208","194","402"
"103046","Montecrestese","603","646","1249"
"103047","Montescheno","175","181","356"
"103048","Nonio","398","422","820"
"103049","Oggebbio","386","408","794"
"103050","Omegna","6865","7317","14182"
"103051","Ornavasso","1664","1637","3301"
"103052","Pallanzeno","529","535","1064"
"103053","Piedimulera","721","705","1426"
"103054","Pieve Vergonte","1185","1227","2412"
"103055","Premeno","373","359","732"
"103056","Premia","278","290","568"
"103057","Premosello-Chiovenda","898","966","1864"
"103058","Quarna Sopra","116","124","240"
"103059","Quarna Sotto","188","185","373"
"103060","Re","351","356","707"
"103061","San Bernardino Verbano","620","606","1226"
"103062","Santa Maria Maggiore","638","667","1305"
"103064","Stresa","2174","2374","4548"
"103065","Toceno","397","368","765"
"103066","Trarego Viggiona","204","179","383"
"103067","Trasquera","87","86","173"
"103068","Trontano","831","836","1667"
"103069","Valstrona","562","549","1111"
"103070","Vanzone con San Carlo","193","204","397"
"103071","Varzo","946","950","1896"
"103072","Verbania","14239","15586","29825"
"103074","Vignone","583","604","1187"
"103075","Villadossola","3049","3200","6249"
"103076","Villette","133","137","270"
"103077","Vogogna","854","815","1669"
"103078","Borgomezzavalle","148","136","284"
"103079","Valle Cannobina","225","191","416"
