"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"002002","Alagna Valsesia","381","350","731"
"002003","Albano Vercellese","162","165","327"
"002004","Alice Castello","1257","1222","2479"
"002006","Arborio","442","394","836"
"002007","Asigliano Vercellese","697","690","1387"
"002008","Balmuccia","53","62","115"
"002009","Balocco","122","88","210"
"002011","Bianzè","917","952","1869"
"002014","Boccioleto","80","87","167"
"002015","Borgo d'Ale","1112","1086","2198"
"002016","Borgosesia","5694","6257","11951"
"002017","Borgo Vercelli","1097","1134","2231"
"002021","Buronzo","429","433","862"
"002025","Campertogno","110","116","226"
"002029","Carcoforo","40","38","78"
"002030","Caresana","537","458","995"
"002031","Caresanablot","544","566","1110"
"002032","Carisio","375","369","744"
"002033","Casanova Elvo","118","102","220"
"002035","San Giacomo Vercellese","129","134","263"
"002041","Cervatto","28","19","47"
"002042","Cigliano","2119","2181","4300"
"002043","Civiasco","112","111","223"
"002045","Collobiano","33","35","68"
"002047","Costanzana","393","422","815"
"002048","Cravagliana","126","114","240"
"002049","Crescentino","3759","3744","7503"
"002052","Crova","178","169","347"
"002054","Desana","529","568","1097"
"002057","Fobello","108","77","185"
"002058","Fontanetto Po","528","508","1036"
"002059","Formigliana","253","235","488"
"002061","Gattinara","3651","3897","7548"
"002062","Ghislarengo","416","404","820"
"002065","Greggio","168","162","330"
"002066","Guardabosone","147","149","296"
"002067","Lamporo","231","237","468"
"002068","Lenta","383","376","759"
"002070","Lignana","263","288","551"
"002071","Livorno Ferraris","2048","2200","4248"
"002072","Lozzolo","369","384","753"
"002078","Mollia","55","45","100"
"002079","Moncrivello","686","674","1360"
"002082","Motta de' Conti","351","351","702"
"002088","Olcenengo","378","396","774"
"002089","Oldenico","121","115","236"
"002090","Palazzolo Vercellese","543","545","1088"
"002091","Pertengo","166","165","331"
"002093","Pezzana","628","661","1289"
"002096","Pila","75","67","142"
"002097","Piode","99","94","193"
"002102","Postua","263","258","521"
"002104","Prarolo","373","347","720"
"002107","Quarona","1745","1970","3715"
"002108","Quinto Vercellese","185","196","381"
"002110","Rassa","41","25","66"
"002113","Rimella","86","53","139"
"002115","Rive","208","219","427"
"002116","Roasio","1030","1112","2142"
"002118","Ronsecco","260","300","560"
"002121","Rossa","97","70","167"
"002122","Rovasenda","421","464","885"
"002126","Salasco","106","88","194"
"002127","Sali Vercellese","47","41","88"
"002128","Saluggia","1840","1912","3752"
"002131","San Germano Vercellese","816","799","1615"
"002133","Santhià","3862","4162","8024"
"002134","Scopa","190","191","381"
"002135","Scopello","205","183","388"
"002137","Serravalle Sesia","2265","2371","4636"
"002142","Stroppiana","603","596","1199"
"002147","Tricerro","335","326","661"
"002148","Trino","3354","3406","6760"
"002150","Tronzano Vercellese","1610","1661","3271"
"002152","Valduggia","894","891","1785"
"002156","Varallo","3275","3557","6832"
"002158","Vercelli","22690","23701","46391"
"002163","Villarboit","186","180","366"
"002164","Villata","766","752","1518"
"002166","Vocca","83","73","156"
"002170","Alto Sermenza","70","63","133"
"002171","Cellio con Breia","479","478","957"
