"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"023001","Affi","1253","1251","2504"
"023002","Albaredo d'Adige","2689","2609","5298"
"023003","Angiari","1261","1283","2544"
"023004","Arcole","3229","3190","6419"
"023005","Badia Calavena","1362","1345","2707"
"023006","Bardolino","3320","3496","6816"
"023007","Belfiore","1775","1633","3408"
"023008","Bevilacqua","944","873","1817"
"023009","Bonavigo","1074","916","1990"
"023010","Boschi Sant'Anna","689","696","1385"
"023011","Bosco Chiesanuova","1924","1669","3593"
"023012","Bovolone","8227","8165","16392"
"023013","Brentino Belluno","702","666","1368"
"023014","Brenzone sul Garda","1136","1300","2436"
"023015","Bussolengo","10353","10684","21037"
"023016","Buttapietra","3538","3493","7031"
"023017","Caldiero","4120","4040","8160"
"023018","Caprino Veronese","4349","4426","8775"
"023019","Casaleone","2881","2791","5672"
"023020","Castagnaro","1741","1756","3497"
"023021","Castel d'Azzano","6100","6233","12333"
"023022","Castelnuovo del Garda","6572","6734","13306"
"023023","Cavaion Veronese","2938","3057","5995"
"023024","Cazzano di Tramigna","722","744","1466"
"023025","Cerea","8607","8697","17304"
"023026","Cerro Veronese","1370","1328","2698"
"023027","Cologna Veneta","4286","4257","8543"
"023028","Colognola ai Colli","4416","4385","8801"
"023029","Concamarise","547","513","1060"
"023030","Costermano sul Garda","1994","2002","3996"
"023031","Dolcè","1278","1258","2536"
"023032","Erbè","961","961","1922"
"023033","Erbezzo","481","369","850"
"023034","Ferrara di Monte Baldo","162","140","302"
"023035","Fumane","2171","2022","4193"
"023036","Garda","1989","2055","4044"
"023037","Gazzo Veronese","2634","2592","5226"
"023038","Grezzana","5439","5336","10775"
"023039","Illasi","2602","2547","5149"
"023040","Isola della Scala","5977","5848","11825"
"023041","Isola Rizza","1671","1646","3317"
"023042","Lavagno","4321","4409","8730"
"023043","Lazise","3329","3442","6771"
"023044","Legnago","12750","13334","26084"
"023045","Malcesine","1693","1779","3472"
"023046","Marano di Valpolicella","1527","1558","3085"
"023047","Mezzane di Sotto","1232","1270","2502"
"023048","Minerbe","2335","2309","4644"
"023049","Montecchia di Crosara","2248","2075","4323"
"023050","Monteforte d'Alpone","4564","4389","8953"
"023051","Mozzecane","4234","3966","8200"
"023052","Negrar di Valpolicella","8086","8292","16378"
"023053","Nogara","4252","4236","8488"
"023054","Nogarole Rocca","2068","1820","3888"
"023055","Oppeano","5269","5114","10383"
"023056","Palù","603","593","1196"
"023057","Pastrengo","1551","1538","3089"
"023058","Pescantina","8794","8836","17630"
"023059","Peschiera del Garda","5252","5653","10905"
"023060","Povegliano Veronese","3666","3735","7401"
"023061","Pressana","1332","1179","2511"
"023062","Rivoli Veronese","1215","1153","2368"
"023063","Roncà","1927","1828","3755"
"023064","Ronco all'Adige","3151","3044","6195"
"023065","Roverchiara","1368","1228","2596"
"023066","Roveredo di Guà","827","830","1657"
"023067","Roverè Veronese","1099","1070","2169"
"023068","Salizzole","1932","1826","3758"
"023069","San Bonifacio","10788","10611","21399"
"023070","San Giovanni Ilarione","2446","2402","4848"
"023071","San Giovanni Lupatoto","12503","12924","25427"
"023072","Sanguinetto","2212","2106","4318"
"023073","San Martino Buon Albergo","8354","8443","16797"
"023074","San Mauro di Saline","319","287","606"
"023075","San Pietro di Morubio","1647","1498","3145"
"023076","San Pietro in Cariano","6254","6742","12996"
"023077","Sant'Ambrogio di Valpolicella","5855","6015","11870"
"023078","Sant'Anna d'Alfaedo","1446","1214","2660"
"023079","San Zeno di Montagna","797","747","1544"
"023080","Selva di Progno","488","433","921"
"023081","Soave","3549","3577","7126"
"023082","Sommacampagna","7222","7258","14480"
"023083","Sona","8834","8927","17761"
"023084","Sorgà","1564","1415","2979"
"023085","Terrazzo","1064","1079","2143"
"023086","Torri del Benaco","1383","1473","2856"
"023087","Tregnago","2525","2540","5065"
"023088","Trevenzuolo","1494","1307","2801"
"023089","Valeggio sul Mincio","7911","8129","16040"
"023090","Velo Veronese","411","361","772"
"023091","Verona","122454","132685","255139"
"023092","Veronella","2643","2546","5189"
"023093","Vestenanova","1303","1196","2499"
"023094","Vigasio","5234","5108","10342"
"023095","Villa Bartolomea","2933","2962","5895"
"023096","Villafranca di Verona","16085","16700","32785"
"023097","Zevio","7963","7974","15937"
"023098","Zimella","2507","2374","4881"
