"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"102001","Acquaro","855","925","1780"
"102002","Arena","565","579","1144"
"102003","Briatico","1815","1763","3578"
"102004","Brognaturo","414","305","719"
"102005","Capistrano","454","477","931"
"102006","Cessaniti","1431","1413","2844"
"102007","Dasà","532","535","1067"
"102008","Dinami","803","839","1642"
"102009","Drapia","1045","1050","2095"
"102010","Fabrizia","921","1007","1928"
"102011","Filadelfia","2417","2525","4942"
"102012","Filandari","857","880","1737"
"102013","Filogaso","668","638","1306"
"102014","Francavilla Angitola","925","873","1798"
"102015","Francica","813","795","1608"
"102016","Gerocarne","934","922","1856"
"102017","Jonadi","2333","2435","4768"
"102018","Joppolo","866","845","1711"
"102019","Limbadi","1569","1615","3184"
"102020","Maierato","1052","1100","2152"
"102021","Mileto","3154","3074","6228"
"102022","Mongiana","288","285","573"
"102023","Monterosso Calabro","696","744","1440"
"102024","Nardodipace","497","521","1018"
"102025","Nicotera","3629","3450","7079"
"102026","Parghelia","620","651","1271"
"102027","Pizzo","4253","4415","8668"
"102028","Pizzoni","448","468","916"
"102029","Polia","371","399","770"
"102030","Ricadi","2597","2451","5048"
"102031","Rombiolo","2124","2077","4201"
"102032","San Calogero","1836","1876","3712"
"102033","San Costantino Calabro","995","1036","2031"
"102034","San Gregorio d'Ippona","1327","1247","2574"
"102035","San Nicola da Crissa","610","564","1174"
"102036","Sant'Onofrio","1323","1332","2655"
"102037","Serra San Bruno","3150","3102","6252"
"102038","Simbario","460","450","910"
"102039","Sorianello","547","521","1068"
"102040","Soriano Calabro","1377","1406","2783"
"102041","Spadola","403","392","795"
"102042","Spilinga","680","665","1345"
"102043","Stefanaconi","1123","1125","2248"
"102044","Tropea","2725","2943","5668"
"102045","Vallelonga","475","353","828"
"102046","Vazzano","442","477","919"
"102047","Vibo Valentia","14918","15835","30753"
"102048","Zaccanopoli","318","328","646"
"102049","Zambrone","863","903","1766"
"102050","Zungri","905","888","1793"
