"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"024001","Agugliaro","705","701","1406"
"024002","Albettone","983","976","1959"
"024003","Alonte","791","767","1558"
"024004","Altavilla Vicentina","5876","5884","11760"
"024005","Altissimo","1117","1040","2157"
"024006","Arcugnano","3807","3788","7595"
"024007","Arsiero","1564","1501","3065"
"024008","Arzignano","13295","12599","25894"
"024009","Asiago","3023","3180","6203"
"024010","Asigliano Veneto","427","414","841"
"024012","Bassano del Grappa","20323","21956","42279"
"024013","Bolzano Vicentino","3275","3230","6505"
"024014","Breganze","4033","4271","8304"
"024015","Brendola","3314","3295","6609"
"024016","Bressanvido","1554","1529","3083"
"024017","Brogliano","2008","2003","4011"
"024018","Caldogno","5552","5752","11304"
"024019","Caltrano","1268","1276","2544"
"024020","Calvene","636","634","1270"
"024021","Camisano Vicentino","5467","5618","11085"
"024022","Campiglia dei Berici","831","838","1669"
"024024","Carrè","1724","1722","3446"
"024025","Cartigliano","1822","1815","3637"
"024026","Cassola","7546","7869","15415"
"024028","Castelgomberto","3120","3025","6145"
"024029","Chiampo","6410","6156","12566"
"024030","Chiuppano","1307","1253","2560"
"024032","Cogollo del Cengio","1556","1571","3127"
"024034","Cornedo Vicentino","5981","5759","11740"
"024035","Costabissara","3796","3852","7648"
"024036","Creazzo","5523","5696","11219"
"024037","Crespadoro","665","592","1257"
"024038","Dueville","6629","6949","13578"
"024039","Enego","789","708","1497"
"024040","Fara Vicentino","1855","1860","3715"
"024041","Foza","361","313","674"
"024042","Gallio","1162","1192","2354"
"024043","Gambellara","1744","1710","3454"
"024046","Grisignano di Zocco","2159","2160","4319"
"024047","Grumolo delle Abbadesse","1989","1911","3900"
"024048","Isola Vicentina","5121","5169","10290"
"024049","Laghi","70","65","135"
"024050","Lastebasse","85","89","174"
"024051","Longare","2756","2775","5531"
"024052","Lonigo","8037","8021","16058"
"024053","Lugo di Vicenza","1774","1736","3510"
"024055","Malo","7344","7362","14706"
"024056","Marano Vicentino","4626","4585","9211"
"024057","Marostica","7056","7065","14121"
"024060","Montebello Vicentino","3209","3108","6317"
"024061","Montecchio Maggiore","12409","11654","24063"
"024062","Montecchio Precalcino","2447","2422","4869"
"024063","Monte di Malo","1450","1386","2836"
"024064","Montegalda","1650","1674","3324"
"024065","Montegaldella","871","894","1765"
"024066","Monteviale","1404","1382","2786"
"024067","Monticello Conte Otto","4496","4598","9094"
"024068","Montorso Vicentino","1538","1463","3001"
"024070","Mussolente","3827","3708","7535"
"024072","Nogarole Vicentino","638","625","1263"
"024073","Nove","2425","2429","4854"
"024074","Noventa Vicentina","4677","4609","9286"
"024075","Orgiano","1467","1509","2976"
"024076","Pedemonte","339","338","677"
"024077","Pianezze","1116","1109","2225"
"024078","Piovene Rocchette","4172","4155","8327"
"024079","Pojana Maggiore","2137","2112","4249"
"024080","Posina","300","282","582"
"024081","Pove del Grappa","1517","1616","3133"
"024082","Pozzoleone","1435","1317","2752"
"024083","Quinto Vicentino","2901","2935","5836"
"024084","Recoaro Terme","2883","2884","5767"
"024085","Roana","2106","2048","4154"
"024086","Romano d'Ezzelino","6966","7036","14002"
"024087","Rosà","7234","7419","14653"
"024088","Rossano Veneto","4149","4147","8296"
"024089","Rotzo","320","324","644"
"024090","Salcedo","493","496","989"
"024091","Sandrigo","4079","4147","8226"
"024094","San Pietro Mussolino","782","722","1504"
"024095","Santorso","2797","2836","5633"
"024096","San Vito di Leguzzano","1746","1756","3502"
"024097","Sarcedo","2649","2650","5299"
"024098","Sarego","3504","3364","6868"
"024099","Schiavon","1336","1265","2601"
"024100","Schio","19283","19706","38989"
"024101","Solagna","911","919","1830"
"024102","Sossano","2112","2024","4136"
"024104","Tezze sul Brenta","6503","6496","12999"
"024105","Thiene","11952","12378","24330"
"024106","Tonezza del Cimone","253","258","511"
"024107","Torrebelvicino","2996","2864","5860"
"024108","Torri di Quartesolo","5841","5976","11817"
"024110","Trissino","4342","4309","8651"
"024111","Valdagno","12636","13165","25801"
"024112","Valdastico","576","610","1186"
"024113","Valli del Pasubio","1523","1495","3018"
"024115","Velo d'Astico","1100","1124","2224"
"024116","Vicenza","53662","57079","110741"
"024117","Villaga","972","952","1924"
"024118","Villaverla","3071","2935","6006"
"024119","Zanè","3172","3326","6498"
"024120","Zermeghedo","687","646","1333"
"024121","Zovencedo","438","377","815"
"024122","Zugliano","3350","3500","6850"
"024123","Val Liona","1573","1499","3072"
"024124","Barbarano Mossano","3101","3087","6188"
"024125","Valbrenta","2507","2360","4867"
"024126","Colceresa","2946","3011","5957"
"024127","Lusiana Conco","2319","2248","4567"
"024128","Sovizzo","4099","4114","8213"
