"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"056001","Acquapendente","2605","2617","5222"
"056002","Arlena di Castro","408","383","791"
"056003","Bagnoregio","1606","1652","3258"
"056004","Barbarano Romano","500","480","980"
"056005","Bassano Romano","2344","2336","4680"
"056006","Bassano in Teverina","631","641","1272"
"056007","Blera","1443","1452","2895"
"056008","Bolsena","1789","1860","3649"
"056009","Bomarzo","874","821","1695"
"056010","Calcata","429","476","905"
"056011","Canepina","1447","1453","2900"
"056012","Canino","2556","2473","5029"
"056013","Capodimonte","811","836","1647"
"056014","Capranica","3100","3251","6351"
"056015","Caprarola","2577","2583","5160"
"056016","Carbognano","953","998","1951"
"056017","Castel Sant'Elia","1184","1227","2411"
"056018","Castiglione in Teverina","1147","1142","2289"
"056019","Celleno","638","677","1315"
"056020","Cellere","590","497","1087"
"056021","Civita Castellana","7305","7706","15011"
"056022","Civitella d'Agliano","723","721","1444"
"056023","Corchiano","1785","1746","3531"
"056024","Fabrica di Roma","4079","4088","8167"
"056025","Faleria","1006","1018","2024"
"056026","Farnese","653","684","1337"
"056027","Gallese","1252","1299","2551"
"056028","Gradoli","600","620","1220"
"056029","Graffignano","1012","1046","2058"
"056030","Grotte di Castro","1243","1131","2374"
"056031","Ischia di Castro","1025","1082","2107"
"056032","Latera","410","362","772"
"056033","Lubriano","413","428","841"
"056034","Marta","1513","1698","3211"
"056035","Montalto di Castro","4327","4352","8679"
"056036","Montefiascone","6388","6591","12979"
"056037","Monte Romano","915","932","1847"
"056038","Monterosi","2387","2402","4789"
"056039","Nepi","4734","4816","9550"
"056040","Onano","421","444","865"
"056041","Oriolo Romano","1812","1861","3673"
"056042","Orte","4682","4561","9243"
"056043","Piansano","1070","969","2039"
"056044","Proceno","290","231","521"
"056045","Ronciglione","4208","4231","8439"
"056046","Villa San Giovanni in Tuscia","606","606","1212"
"056047","San Lorenzo Nuovo","1020","1009","2029"
"056048","Soriano nel Cimino","3872","4016","7888"
"056049","Sutri","3382","3382","6764"
"056050","Tarquinia","7751","8111","15862"
"056051","Tessennano","144","139","283"
"056052","Tuscania","3898","4190","8088"
"056053","Valentano","1473","1381","2854"
"056054","Vallerano","1164","1185","2349"
"056055","Vasanello","1970","1989","3959"
"056056","Vejano","1073","1074","2147"
"056057","Vetralla","6601","6769","13370"
"056058","Vignanello","2110","2150","4260"
"056059","Viterbo","32702","34065","66767"
"056060","Vitorchiano","2579","2642","5221"
